handle,value_created_usd,distribution
jerok0,238.43,initial
jasonrhaas,238.15,initial
mrelliwood,238.12,initial
dev1644,238.00,initial
divraj,237.64,initial
bitbeckers,237.50,initial
fxfactorial,237.50,initial
jakubgregus,237.50,initial
kayuzee,237.50,initial
luisivan,237.50,initial
nicholashc,237.50,initial
noslav,237.50,initial
zincoshine,237.50,initial
miguel550,237.17,initial
scillen,236.79,initial
elma-landro,236.54,initial
soooofuccckkkkk,236.43,initial
madnadyka,236.37,initial
anonusergitcoin78-bpnufuxphaep7u5sf59wb0x6mi05lhix,236.22,initial
cornellioss,236.11,initial
cristiam86,235.63,initial
fkhita,235.58,initial
igar1991,235.27,initial
ben-chain,234.80,initial
yossipik,233.73,initial
pmakkar93,233.37,initial
dangvuongdung,233.27,initial
zashton,233.27,initial
clouedoc,233.08,initial
schorgie30,233.02,initial
ngovannghia1997kma,232.98,initial
pvela,232.95,initial
tssandor,232.75,initial
jimn2k,232.18,initial
alain-michel-pilot,231.33,initial
slayorktc,230.90,initial
ajnauleau,230.88,initial
kattgu7,230.39,initial
ntquang22298,230.25,initial
jonathanh4h,230.07,initial
juxtaposedwords,230.00,initial
abduljabaar,229.37,initial
bidetaggle,229.11,initial
poolisa01,228.50,initial
antonyip,228.40,initial
david405,227.71,initial
dsommer123,227.36,initial
coachsharkey,227.32,initial
pluriholonomic,227.32,initial
dangerousfood,226.96,initial
artofkot,226.75,initial
mickdegraaf,226.70,initial
kevinknielsen,226.38,initial
axic,226.35,initial
kartiktalwar,225.99,initial
heychristopher,225.90,initial
adamskrodzki,225.54,initial
artbrock,225.52,initial
misterigl,225.04,initial
guanqun,225.00,initial
mapleproject,224.95,initial
gauthierzupp,224.40,initial
viktorbunin,223.76,initial
dcrypto1,223.69,initial
rojosnow,223.45,initial
dtbx,223.41,initial
c410-f3r,222.84,initial
milg15,222.48,initial
wildsonbbl,222.48,initial
vasilysumanov,222.47,initial
ledgerblock,221.60,initial
anansiy,221.40,initial
sethmcleod,221.34,initial
valo,221.16,initial
kaymasjain,220.96,initial
sayum124,220.90,initial
usecripto,220.83,initial
hjmomtazi,220.21,initial
zaccheah,220.11,initial
hexcos,219.79,initial
haoyun-ethplanet,219.42,initial
initq,219.39,initial
dgleon,218.98,initial
birinihor,218.66,initial
onkelskrue,217.89,initial
bingen,217.82,initial
daodesigner,217.79,initial
kbdoesnotcode,217.10,initial
josojo,217.03,initial
agelearns,216.50,initial
zt-vue,216.42,initial
robsonsjre,216.36,initial
atify,216.12,initial
jakeparker7,216.10,initial
armansalif,216.02,initial
mark9711,215.80,initial
c3n7,215.61,initial
devpavan04,215.23,initial
heyellieday,215.04,initial
asonmine,214.85,initial
akwavelva,214.52,initial
figofinozeros,214.22,initial
martin1209,214.09,initial
jacobwillemsma,213.81,initial
shahidhk,213.75,initial
lorena1974,213.74,initial
teawaterwire,213.72,initial
xbrucethegoose,213.24,initial
powerschris,213.12,initial
kayjay999,212.56,initial
jonnwall,212.25,initial
ultreia0,212.21,initial
odiblocha,212.20,initial
elnaril,211.91,initial
rawfalafel,211.40,initial
twintbeast,211.27,initial
robbynshaw,211.23,initial
nonfungerbils,210.72,initial
darehwinston,210.55,initial
duelingbanjos,210.50,initial
tra38,210.42,initial
hohlovsky,210.35,initial
brinng,210.24,initial
mattotodd,210.21,initial
nvr-ndr,210.20,initial
ashcp07,209.66,initial
minusx,209.00,initial
cryptoekof,208.77,initial
mierzynskim,208.65,initial
judycamnary,207.71,initial
stopstart,207.52,initial
nemris,207.50,initial
the-3d,207.10,initial
guillaumepalayer,206.87,initial
mcmonkeys1,206.85,initial
ncsolar,206.76,initial
gauravs99,206.17,initial
inlak16,206.00,initial
cyber-hokie,205.89,initial
dxtx824,205.67,initial
avalonche,205.34,initial
rickrods,205.24,initial
casro,205.00,initial
cowsclaw,205.00,initial
divthis,205.00,initial
yaliu14,204.90,initial
sbibek086,204.54,initial
theezan,204.54,initial
bakkdoor,204.38,initial
jocoder,204.25,initial
alan-telefuel,204.18,initial
anonusergitcoin50-c88com8r9exbbbeirsh77vmokp5nihro,204.01,initial
nieldelmartin,203.92,initial
agni21,203.29,initial
nsexer,203.28,initial
kypotato,203.01,initial
saurfang,202.62,initial
dodikk,202.12,initial
imweihuang,202.08,initial
asketak,202.06,initial
laserbach,202.00,initial
sbuljac,201.43,initial
kivanov82,201.17,initial
matdryhurst,201.02,initial
jjmstark,200.85,initial
p-s-dev,200.66,initial
keikreutler,200.42,initial
bkly1135,200.34,initial
anukul,200.00,initial
ccashwell,200.00,initial
clehene,200.00,initial
elopez,200.00,initial
flowerpatchramzi,200.00,initial
gamacoin2017,200.00,initial
lguappo,200.00,initial
mattaereal,200.00,initial
nicstr,200.00,initial
nugbase,200.00,initial
prestonvanloon,200.00,initial
pyrate01,200.00,initial
roony0072,200.00,initial
sirnicolaz,200.00,initial
stephan-tolksdorf,200.00,initial
zzyyxxww,200.00,initial
captnseagraves,199.91,initial
kuberlog,199.77,initial
jerry40,199.73,initial
tjwlucas,199.02,initial
orange-molecule,198.47,initial
hswick,197.75,initial
fluchtzwerg,197.64,initial
xtrapower,197.50,initial
drslowpokephd,196.62,initial
pimato,196.61,initial
rmotmans,196.47,initial
vdg0,196.37,initial
moghaf,196.34,initial
zhangzhongnan928,196.00,initial
victorvaflo,195.63,initial
simogab,195.38,initial
anudit,195.00,initial
superphiz,194.53,initial
unmay,194.34,initial
runycalmera,194.30,initial
lerg8318,194.14,initial
defirate,194.10,initial
bobbyong,194.08,initial
ayushgupta0610,194.07,initial
canndrew,193.74,initial
sonhng,193.74,initial
masteritachi,193.57,initial
smitrov,193.45,initial
hugoo,193.44,initial
mattybgits,193.12,initial
ososco,193.02,initial
owonwo,192.86,initial
michaelbnewman,192.73,initial
mybit-coordinator,192.65,initial
johnlenin00,192.37,initial
payraa,192.15,initial
v0xat,192.05,initial
thedvd98,191.99,initial
prince-fish,191.90,initial
yopaman,191.72,initial
jorropo,191.64,initial
leafs4life,191.30,initial
chejazi,190.96,initial
pontiyaraja,190.95,initial
gardenerofeden,190.26,initial
tagawa,190.16,initial
evgenyboxer,190.03,initial
agency0x,190.00,initial
floatingon,190.00,initial
mgoforth,190.00,initial
mmoravec,190.00,initial
shortcircuit3,190.00,initial
stemhobbs,190.00,initial
zoe-archer,190.00,initial
rebasedmarine,189.69,initial
tibbarytsur,189.40,initial
hustlehuslte,189.23,initial
justinjmoses,189.16,initial
rahullenkala,188.96,initial
jammiefreerider,188.90,initial
brianmcmichael,188.66,initial
msonawane,187.92,initial
moshemalawach,187.80,initial
vantenda,187.51,initial
fcrcf,187.15,initial
cmac2454,187.09,initial
kpii,186.80,initial
cstoraker,186.08,initial
darksorrow,186.03,initial
yjkimjunior,185.10,initial
terrycflamb,184.92,initial
amazighov,184.85,initial
bowensanders,184.47,initial
sardoru,184.28,initial
heikolotz,184.19,initial
ouicho,184.17,initial
vargaspeniel,184.15,initial
aust6512,184.08,initial
krov-01,183.98,initial
dvncan,183.73,initial
gary-glitch,183.61,initial
oscarquintana,183.61,initial
shakeabi,183.61,initial
anonusergitcoin48-qtr23jxzziyddblm1xht6efqw3iwtfxr,183.52,initial
raininja,183.34,initial
incubustedin,183.33,initial
hawtdamnbertha,183.16,initial
theylon,182.64,initial
eibrielinv,182.55,initial
adnfx2,182.45,initial
axia-callum,182.17,initial
cmditch,181.91,initial
typto,181.90,initial
drente,181.83,initial
withinaz,181.58,initial
lo0p,181.50,initial
2075,180.59,initial
axelhenriot,180.50,initial
mmaller,180.41,initial
eiselems,180.00,initial
quangmach,179.78,initial
chrisstpierre,179.10,initial
araman64new,179.00,initial
karbonbased,178.59,initial
yehia67,178.47,initial
jan-miksik,178.24,initial
friederikeernst,178.13,initial
random-char,177.81,initial
mbeylin,177.65,initial
poffdeluxe,177.21,initial
codec64,177.14,initial
kendricktan,176.80,initial
justjohnpark,176.78,initial
marciogurka,176.55,initial
dalaillaama,176.50,initial
s-ben,176.43,initial
klongrich,176.41,initial
patrickayelle,176.24,initial
veox,176.22,initial
haythem96,175.83,initial
eumarius,175.75,initial
isakivlighan,175.75,initial
iamthegl1tch,175.70,initial
hayleykwan,175.13,initial
amigodejack,175.07,initial
kfirmanty,175.05,initial
anomogh,174.78,initial
chuckbergeron,174.56,initial
alex-mcarthur,174.32,initial
clementbalestrat,173.91,initial
adivyas99,173.90,initial
darrenrm,173.76,initial
joemphilips,173.63,initial
yuyubuy,173.57,initial
wliyongfeng,173.24,initial
tschoffelen,173.20,initial
egosenti,172.70,initial
ravipp,172.44,initial
mikedyn,172.00,initial
shuffledex,171.80,initial
modz4fun420,171.76,initial
jeremyohala,171.72,initial
eliyastein,171.64,initial
gard67,171.56,initial
hiba561,171.41,initial
furqanrydhan,171.40,initial
glitch46,171.40,initial
kilrau,171.40,initial
mvaandrager,171.40,initial
ullarock,171.40,initial
ryandotson,171.34,initial
carboclanc,171.10,initial
q9f,171.00,initial
rishu921,171.00,initial
uneautrepoire,170.83,initial
raphaelhuefner,170.72,initial
jamescchristie,170.61,initial
max2000383,170.24,initial
novazembla,170.22,initial
redshark1802,170.00,initial
varunv5000,169.82,initial
aid2covid-19,169.15,initial
whatscusemewhat,168.69,initial
yazzyyaz,168.19,initial
xiv1605,168.14,initial
nagolinc,167.90,initial
xyligan78,167.45,initial
bubblenote,167.00,initial
haraldini,167.00,initial
iainbarclay,167.00,initial
ja888,167.00,initial
lisamtrujillo,167.00,initial
flash-git,166.92,initial
sc-jackie,166.91,initial
nkennethk,166.33,initial
sassy799,166.06,initial
djuanit0x,166.00,initial
jonathanamenechi,166.00,initial
davidmack-myc,165.98,initial
rachblondon,165.81,initial
mikedeltalima,165.75,initial
hatgit,165.63,initial
cryptoraves,165.52,initial
10osamaahmed92,165.43,initial
ankit-maverick,165.00,initial
manvsrice,164.68,initial
ptsteadman,164.61,initial
hpzxk,164.25,initial
blahkheart,164.02,initial
xibot,163.77,initial
bobanm,163.75,initial
rogargon,163.48,initial
rahulkrishna-web,163.47,initial
pinkunicornforest,163.40,initial
djrtwo,163.35,initial
guritgfc,163.03,initial
dafky2000,162.95,initial
hamburglar7,162.80,initial
snag0,162.76,initial
imabdullahjan,162.66,initial
pertsev,162.65,initial
olafghanizadeh,162.63,initial
markichu,162.43,initial
oneiseu,162.32,initial
jax198,162.20,initial
jaredpereira,162.00,initial
pkrasam,161.87,initial
baraldor,161.75,initial
ajsantander,161.50,initial
evanz13,161.50,initial
tetther1122,161.02,initial
huanzhang89,161.00,initial
engynzss,160.82,initial
crypt1d,160.71,initial
lemogras,160.67,initial
michalmikolajczyk,160.29,initial
wahyusmat,160.25,initial
interaxis,160.17,initial
1juani,160.14,initial
holocroncoder,160.00,initial
vcampbell89,159.82,initial
anants13,159.60,initial
abdel-az,159.47,initial
psswrd12345,159.12,initial
rossgalloway,158.75,initial
gwintery,158.26,initial
naveedsgd,158.12,initial
miaommmisokay,158.04,initial
hamidalavi,157.98,initial
jordancason,157.85,initial
n3r01n,157.79,initial
min-teo,157.76,initial
wisper156,157.58,initial
netzm8,157.39,initial
spcmank,156.58,initial
shlyapa0,156.26,initial
benschza,156.24,initial
sbiddand,155.77,initial
wanseob,155.53,initial
naggertooth,155.36,initial
harshvardhan-shah,155.12,initial
julienbrg,154.91,initial
casub,154.90,initial
hibero,154.84,initial
eddy-fi,154.55,initial
spuddya7x,154.44,initial
pgholsgrove,154.33,initial
ffinda,154.18,initial
2ge,153.43,initial
van155,153.42,initial
dannylun,153.41,initial
sushantjais,153.24,initial
maltaiso,152.93,initial
den-crypto-group,152.53,initial
fameal,152.00,initial
jhray,152.00,initial
willk123,152.00,initial
thealchemist310,151.95,initial
gldnxross,151.90,initial
emiwatanabe,151.77,initial
thehated1,151.73,initial
yogijerry,151.57,initial
ic0rraxx,151.48,initial
jorinap143,151.45,initial
albertblocks,151.28,initial
erib3,151.28,initial
mohamedmehdigara,151.26,initial
problem-halting,151.10,initial
khoi1493,150.82,initial
jtnichol,150.80,initial
ineffablekod,150.44,initial
squanto,150.24,initial
andogro,150.21,initial
dsupport,150.07,initial
burgersan,150.00,initial
edwardathomson,150.00,initial
emotemot,150.00,initial
graceslsne8,150.00,initial
jorge222,150.00,initial
laurogripa,150.00,initial
olyagreen,150.00,initial
petrvolny,150.00,initial
sotawatanabe,150.00,initial
sundar-balaji,150.00,initial
yoga17,150.00,initial
johguse,149.91,initial
fvictorio,149.88,initial
skmgoldin,149.68,initial
vladfr,149.68,initial
paulniamh,149.67,initial
avrilapril,149.54,initial
divguy,149.53,initial
0xcharles,149.33,initial
pmaojo,149.23,initial
rikublock,149.20,initial
plur9,149.06,initial
kei32bit,148.94,initial
chuckwagoncomputing,148.85,initial
svetlin1,148.72,initial
mutedialog,148.50,initial
saopdx,148.20,initial
charlieknoll,148.07,initial
harshcoolboy,147.80,initial
prettymuchbryce,147.67,initial
clonedeath,147.65,initial
colekennelly1,147.58,initial
cperezcapote,147.33,initial
totle1,147.21,initial
z737,147.13,initial
lrgeoemtry,147.04,initial
innovationcur,147.00,initial
deguvunor,146.89,initial
programarivm,146.55,initial
warezgibzzz,146.55,initial
ramarti,146.21,initial
samscalet,146.20,initial
j-zerah,146.14,initial
y0y0jojo,146.14,initial
sheikhazrin,146.13,initial
dvidenkoanton,145.76,initial
nghianv-1868,145.65,initial
c-o-l-o-r,145.62,initial
0xlucas,145.35,initial
yippee-ki-yay,145.33,initial
abbey-titcomb,145.22,initial
karansinghgit,145.07,initial
stobx,145.00,initial
antoncoding,144.93,initial
randomblock1,144.89,initial
ashleyoyt,144.88,initial
blockstarstudio,144.64,initial
n1ck3r,144.47,initial
isaack2808,144.40,initial
hxrts,144.33,initial
joydivisi0n,144.33,initial
mfahampshire,144.33,initial
operation-escargot,144.33,initial
eferhild,144.32,initial
duniaman,144.30,initial
robbiekruszynski,144.21,initial
doppiar,144.04,initial
ubien,144.03,initial
e-asia,143.92,initial
w467,143.92,initial
manjilan,143.60,initial
vadimmalykhin,143.48,initial
adrianleb,143.45,initial
norsefire,143.35,initial
shippable-ls,143.29,initial
dxiri,143.24,initial
abubakrdammy,142.96,initial
gitcoingranterog,142.70,initial
fabriziovigevani,142.50,initial
inacali,142.50,initial
krsrm,142.50,initial
mdzor,142.50,initial
petravis,142.50,initial
rsholtz,142.50,initial
tansawit,142.50,initial
thelitcollective,142.50,initial
yt8073,142.50,initial
ruysylva1978,142.44,initial
c3rnst,142.29,initial
jdm512,142.27,initial
fatemealidada,142.18,initial
iamfeyi,142.17,initial
anono1618,141.87,initial
lampshade9909,141.74,initial
johnx25bd,141.67,initial
wrickman-stylez,141.33,initial
krastycraft,141.26,initial
missberg,141.12,initial
kalambet,141.00,initial
psuedophonical,140.52,initial
sgyf-dao,140.49,initial
kallemoen,140.25,initial
kylemcculloch,140.24,initial
haritha-j,140.00,initial
hoani,140.00,initial
orbitalcommandfreefall,140.00,initial
maxmersch,139.85,initial
domalak,138.97,initial
itsencrypted,138.97,initial
johnnynanjiang,138.88,initial
floristico,138.76,initial
jesseblockhack,138.00,initial
chain-police,137.91,initial
msuess,137.84,initial
nazsi,137.44,initial
asimashfaq,137.12,initial
inomurko,137.12,initial
vradis,137.12,initial
gianni-dalerta,137.06,initial
nerd257,136.48,initial
ncerovac,136.39,initial
aphthong,136.37,initial
craniumcase,136.37,initial
nito96,136.32,initial
cryptokat,136.14,initial
chainlinkgod,135.93,initial
lenkla,135.86,initial
papa6669,135.85,initial
authozia,135.74,initial
pjcolombo,135.45,initial
fleupold,135.36,initial
6ug,135.17,initial
8bitpal,135.16,initial
lostmind84,135.10,initial
mksalabi,135.00,initial
rshtirmer,134.98,initial
j0shwheeler,134.97,initial
ecruz01,134.95,initial
jintoppy,134.51,initial
markoprljic,134.33,initial
jimjimvalkema,134.12,initial
lownightsnack,133.99,initial
ethde,133.87,initial
thekerp,133.87,initial
currybab,133.81,initial
csbuildit,133.76,initial
dnllvrvz,133.52,initial
hprivakos,133.44,initial
mlatief,133.28,initial
dennissnijder,133.15,initial
ericvdmaarel,133.15,initial
vamsiikrishna,133.15,initial
g10h4ck,133.09,initial
cricketpgh,133.00,initial
rania-glass,133.00,initial
lorenzo-bc,132.16,initial
annavladi,132.13,initial
dcghub,132.00,initial
turupawn,131.66,initial
rbval,131.56,initial
twblack88,131.31,initial
jamessandy,131.21,initial
janmoomoo,131.16,initial
jason920224,131.10,initial
stareintothebeard,131.06,initial
imtiaz101325,131.01,initial
fidinand,130.90,initial
robtg4,130.67,initial
skmiskmi,130.67,initial
sagarchaurasia260395,130.63,initial
suii00,130.47,initial
motanovici,130.26,initial
calsbo,130.04,initial
danieljoonlee,130.00,initial
shamusroeder,130.00,initial
remyroy,129.45,initial
qinxiaowen,129.39,initial
ethergration,129.32,initial
tomasvrba,129.16,initial
kvrnc,129.14,initial
alchemist33,129.12,initial
matuszed,129.11,initial
ayush-oberoi,129.10,initial
gcarq,128.97,initial
anonusergitcoin12-k9tevg4wfsszbqp7zuejjdx2hgthrajn,128.85,initial
robinpan1,128.68,initial
volleykrypton,128.61,initial
terrabellus,128.60,initial
seanatlbc,128.51,initial
ashleigh-schap,128.25,initial
makzent,128.25,initial
tw-hub,128.25,initial
yanikkoval,128.25,initial
dleonard00,128.09,initial
revealtheweb,128.01,initial
manolingam,127.90,initial
sschellhase,127.88,initial
michaelsena,127.39,initial
koltenb,127.16,initial
edinnen,126.86,initial
ericramos1980,126.73,initial
myadotc,126.03,initial
kevinratz24,126.02,initial
alexjg,126.00,initial
chankruze,126.00,initial
mooniemama,126.00,initial
codyborn,125.99,initial
francomendoza,125.75,initial
eliescampo,125.50,initial
hwwhww,125.30,initial
nextkuro,125.15,initial
oystersauce8,125.00,initial
d0ck3r,124.96,initial
jgonfer,124.90,initial
cryptoquick,124.77,initial
sdtsui,124.73,initial
dazuck,124.57,initial
extropycoder,124.54,initial
timetraveljesus,124.37,initial
matiasunstoppable,124.30,initial
dkent600,124.22,initial
alexfisher,124.00,initial
bb2000,123.98,initial
gwag619,123.98,initial
sistemasdgconta,123.76,initial
yaobr,123.64,initial
jin10086,123.50,initial
kuekuatsheu95,123.50,initial
oleggordiichuk,123.29,initial
andyboyan,123.10,initial
cypherbadger,123.04,initial
shresthagrawal,122.91,initial
jamesmorgan,122.84,initial
du7sou8ra1,122.74,initial
lamboshinakaghini,122.55,initial
s0nik42,122.38,initial
bardinpetr,122.23,initial
eie6,122.21,initial
coberms,122.20,initial
jameseti,122.20,initial
pareto-network,122.15,initial
alethea-tech,122.01,initial
zazibizarro,121.60,initial
kowei1995,121.54,initial
randomshinichi,121.41,initial
hominluo,121.34,initial
trzcinskid,121.34,initial
mochex10,121.24,initial
taanpei,121.04,initial
sriharikapu,120.97,initial
primusd,120.66,initial
antonper,120.62,initial
perfektbiz,120.60,initial
ethereummary,120.58,initial
rayrapetyan,120.43,initial
frank-bl,120.36,initial
sprasad7290,120.29,initial
idemox,120.27,initial
marcelkooi,120.19,initial
mbaril010,120.17,initial
derfredy,120.16,initial
holgerd77,119.99,initial
alon-eth,119.98,initial
riusricardo,119.79,initial
aesthytik,119.77,initial
wicky92,119.76,initial
ddshang,119.68,initial
yukiexe,119.50,initial
andrejkljucko,119.39,initial
bestfriendyb9x,119.36,initial
derwalunddiekatze,119.29,initial
jamesdawsonwd,119.21,initial
jazzholicbae,119.17,initial
glebivanov,118.87,initial
deleted_account,118.79,initial
ar03031,118.75,initial
atmate69,118.75,initial
imdario,118.75,initial
sanems,118.75,initial
524119574,118.43,initial
rockfridrich,118.43,initial
adriendarki,118.38,initial
razukirked,118.28,initial
miguelmv21,118.08,initial
autonome,118.04,initial
martinloesethjensen,117.92,initial
smcki012,117.84,initial
anubis21d,117.68,initial
achalasb,117.65,initial
tmlee,117.18,initial
commonslove,117.00,initial
atvonsc,116.85,initial
dordille,116.51,initial
sumitbdn,116.51,initial
cleanappio,116.39,initial
galexsis,116.34,initial
vaivoda,116.20,initial
guettomusick,115.86,initial
ggs134,115.84,initial
de-mer-sal,115.83,initial
teodao89,115.67,initial
bockp,115.23,initial
ajayns,115.00,initial
aspiers,114.99,initial
crispysandwhich,114.87,initial
ranjan3118,114.49,initial
genieinpot,114.25,initial
critesjosh,114.14,initial
davidstrouk,114.08,initial
alelliott,114.00,initial
macor161,114.00,initial
maximfmai,114.00,initial
roham,114.00,initial
undpx,113.81,initial
qww122,113.65,initial
siriusye,113.65,initial
jpaulet,113.57,initial
tiau,113.56,initial
bubbleteanl,113.19,initial
daryllautk,112.99,initial
vovantung199x,112.96,initial
cooganb,112.95,initial
aleksandarz,112.70,initial
maheshmurthy,112.70,initial
ashokk1990,112.69,initial
mrrobot16,112.56,initial
anonusergitcoin2-dkrxbavrlbolmzjafkxofr33njkdzcl2,112.38,initial
richard-ramos,112.37,initial
mfuysalz,112.25,initial
wlstylr,112.18,initial
kingreyes909,111.68,initial
dmaddox,111.60,initial
flipstick,111.53,initial
romanaab,111.51,initial
squaricacid,111.39,initial
iizrii,111.29,initial
defidon,111.10,initial
dappenthusiast,110.94,initial
catarinareis,110.64,initial
dawidzioor,110.59,initial
jlr13,110.40,initial
phoenix20-git,110.26,initial
bhenze,110.22,initial
jack-winters,110.20,initial
rbcp18,110.17,initial
just-eth,110.16,initial
avmacd,110.15,initial
santanaruben,110.14,initial
pyggie,110.10,initial
ouyangfeng,110.02,initial
lornestar,109.70,initial
akara52,109.45,initial
dj-powehi,109.40,initial
alissonsleal,109.38,initial
laurentiu-andronache,109.25,initial
xuixo,109.25,initial
lucyfahh,108.98,initial
dystopialabs,108.44,initial
mglaman,108.38,initial
mariapao,108.28,initial
alejodosr,108.26,initial
cjgarde,108.25,initial
shazzadkhan,108.21,initial
sterlu,108.08,initial
urjapawar,108.00,initial
yareyare-yareyare,107.96,initial
noukbay,107.82,initial
simczak,107.73,initial
borisllona,107.51,initial
anonusergitcoin60-tptx4iktlrxfhjocp65z0b7kxibbmgzb,107.37,initial
chandra-aicumen,107.35,initial
nadialv,107.23,initial
polto,107.09,initial
rozifus,106.50,initial
blackswan122,106.25,initial
ethereum-john,106.10,initial
anod1,106.08,initial
donmuerin,106.08,initial
markx3,105.96,initial
animesh371,105.89,initial
sbremner777,105.46,initial
hitchcott,105.40,initial
irmacias,105.20,initial
apetresc,105.09,initial
hex-capital,105.00,initial
potuz,105.00,initial
damiir1,104.97,initial
zedt3ster,104.75,initial
jacko125,104.60,initial
lescobar-driver,104.60,initial
jguzman1296,104.55,initial
dreihasen,104.50,initial
psycheout,104.50,initial
conlan,104.45,initial
gwmccubbin,104.15,initial
raimondskazuss,104.14,initial
pierce403,103.97,initial
tarzan18,103.97,initial
alexanderattar,103.92,initial
codenamejason,103.79,initial
filips123,103.79,initial
ngovannghia1997bg,103.63,initial
inblock-io,103.44,initial
romanjesus,103.38,initial
andrewfett,103.36,initial
conglt-0917,103.33,initial
isatou,103.26,initial
elemino,103.07,initial
roninkaizen,103.02,initial
melrvp,103.00,initial
kanaruna,102.98,initial
65black,102.92,initial
oussema,102.87,initial
fort3hlulz,102.84,initial
luxaedel,102.84,initial
roshanr95,102.84,initial
nfhbar,102.78,initial
rostyslavdzhohola,102.73,initial
saurabh,102.70,initial
elevenxi,102.60,initial
disc30,102.59,initial
xingspace,102.44,initial
craze3,102.39,initial
mattiac79,102.30,initial
bright1806,102.13,initial
caleteeter,102.08,initial
evabeylin,102.05,initial
leduc1984,101.94,initial
hugosanchez,101.88,initial
gthomasesmay,101.87,initial
roopchand2707,101.78,initial
guylouis,101.74,initial
devenoges,101.72,initial
elm87an,101.65,initial
manyjeans,101.65,initial
augustog,101.52,initial
jm9151821,101.44,initial
chessachristine,101.19,initial
jackveiga,100.97,initial
joanoliete,100.92,initial
phantohm,100.92,initial
internetjohnny,100.85,initial
boylejis,100.84,initial
t3m1shack,100.79,initial
faridh257,100.76,initial
bertilxi,100.70,initial
hesterbruikman,100.70,initial
tomoyan,100.70,initial
vxeth,100.65,initial
musalbas,100.62,initial
leeftk,100.59,initial
aaryamannchallani,100.56,initial
vikrant1697,100.45,initial
razumoval,100.40,initial
jonnydubowsky,100.38,initial
elliotolds,100.36,initial
heapwalker,100.31,initial
jaybondar,100.31,initial
hav-noms,100.25,initial
a1essandro11,100.24,initial
cnasc,100.24,initial
jesy30,100.24,initial
laurengarcia,100.23,initial
b43kd00r,100.13,initial
connojohn,100.13,initial
ilario,100.05,initial
aarongirard,100.00,initial
bluppfisk,100.00,initial
dapperauteur,100.00,initial
dmytrobaida,100.00,initial
egenene,100.00,initial
erikaugust,100.00,initial
jgimeno,100.00,initial
lazaridiscom,100.00,initial
lokraan,100.00,initial
lucasnar,100.00,initial
lykaii,100.00,initial
mkg20001,100.00,initial
scydev,100.00,initial
spenserhuang,100.00,initial
thebkr7,100.00,initial
vladlupashevskyi,100.00,initial
wuehler,100.00,initial
red29,99.99,initial
emkman,99.90,initial
deliquesce,99.75,initial
kathywhs,99.75,initial
kunalmanelkar,99.75,initial
masonforest,99.75,initial
sogandshamsaria,99.75,initial
yuriko627,99.75,initial
henryc2334,99.73,initial
bettabeta,99.70,initial
gitpusha,99.70,initial
kaigani,99.69,initial
reverseacid,99.57,initial
bappamandal247,99.05,initial
nikhil1415926,99.05,initial
gnunicorn,99.03,initial
gr4zz,98.92,initial
calvinoea,98.84,initial
ernanirst,98.83,initial
fredo74,98.83,initial
jendakolda,98.71,initial
gman211,98.69,initial
mrblobby,98.47,initial
the-digital-asset-group,98.35,initial
krissiau,98.28,initial
mrudulachivukula,98.18,initial
sgcrypto1983,98.11,initial
mikelaborscky,98.09,initial
bullusk,97.69,initial
hleb-albau,97.55,initial
dividuals,97.42,initial
drllau,96.98,initial
dannygkass,96.95,initial
rak810,96.95,initial
1155ercorp,96.90,initial
excusememiss,96.87,initial
yhuag,96.82,initial
israeleth,96.79,initial
jseam2,96.76,initial
crambab,96.60,initial
goodatdrowning,96.58,initial
runv,96.58,initial
jihoz,96.50,initial
alcidesmorales,96.49,initial
ebunayo,96.42,initial
notdon,96.27,initial
addyxvii,96.21,initial
tathagata-raha,96.20,initial
dawe35,96.16,initial
benjaminjwhitby,96.04,initial
insidenima,95.98,initial
gashti110,95.95,initial
twimbo,95.76,initial
andrewdara,95.72,initial
brianwieder,95.68,initial
tweetie-pie,95.62,initial
rakibes09,95.60,initial
yusif536,95.59,initial
wlsu,95.58,initial
roadrunner2012,95.53,initial
chrouzz,95.47,initial
pm-gitcoin,95.34,initial
mdawsondev,95.33,initial
mlibre,95.27,initial
rachel-rose,95.16,initial
curiouslearner,95.15,initial
editor-ajian,95.05,initial
adawsonjc,95.00,initial
blockbird,95.00,initial
cryptowitch,95.00,initial
derrickpelletier,95.00,initial
dforsten,95.00,initial
fredcoen,95.00,initial
iamthefastestmanalive,95.00,initial
jdkanani,95.00,initial
jochem-brouwer,95.00,initial
jonathanlau200,95.00,initial
josedvd123,95.00,initial
jzaki,95.00,initial
kaib789,95.00,initial
lafilnemi,95.00,initial
lilylatam,95.00,initial
marta-crypto,95.00,initial
mbdyess,95.00,initial
meinhardopolom,95.00,initial
mohsenghajar,95.00,initial
msvetkin,95.00,initial
needmorecommas,95.00,initial
operabounties,95.00,initial
p0unce,95.00,initial
peterenguin,95.00,initial
punjadefi,95.00,initial
raymonddurk,95.00,initial
rebeccamqamelo,95.00,initial
rewkang,95.00,initial
rikku-x,95.00,initial
rogershine,95.00,initial
sarahbaiada,95.00,initial
shoili,95.00,initial
siatechno,95.00,initial
smoelius,95.00,initial
snario,95.00,initial
tehranifar,95.00,initial
thryving,95.00,initial
tippydesu,95.00,initial
wabajob,95.00,initial
xiyuan,95.00,initial
zeroguz,95.00,initial
zertifier,95.00,initial
trucnguyenthi,94.95,initial
