handle,token_proportion,tokens
cinnabarhorse,0.14%,8.87150401
jshanks21,0.14%,8.87150401
PixelantDesign,0.14%,8.87150401
yoni9091,0.14%,8.87150401
Fizzymidas,0.14%,8.87150401
aliyajypsy,0.14%,8.87150401
linda-xie,0.14%,8.87150401
arturgontijo,0.14%,8.87150401
frankchen07,0.14%,8.87150401
mbeylin,0.12%,7.60414629
,0.12%,7.60414629
,0.12%,7.60414629
,,
,7200.00,
