handle,user_id,total,active_user,kernel,GMV
rstormsf,7081,28227541899998998298624,140221900000000000000,0,28087319999998999920640
tkstanczak,7890,29725789999998999461888,1688339999999000051712,0,28037450000000002031616
stirling,110634,27474324699998001823744,34124699998999998464,0,27440199999999000444928
cryptogambit,84228,27115573999998001479680,33543999998999998464,0,27082029999998998937600
katiejohnson,50606,27108667299998998724608,55657300000000000000,0,27053009999999000379392
epsylon75,125186,27063302599999001460736,22362600000000000000,0,27040939999998999789568
0xtangerine,125202,26540299999999999082496,11180000000000000000,0,26529120000000001048576
siddigzeidan,19316,26681753099999998115840,217793100000000016384,0,26463960000000000262144
bneiluj,613,26863230899999001804800,550570899999999983616,0,26312659999998999527424
kaiynne,64456,27654909999998998413312,1424589999998999986176,0,26230320000000000524288
defi-dad,77430,31388699999998998216704,5285240000000000262144,0,26103459999998999003136
altvest,125172,25780205300000000835584,44725300000000000000,0,25735480000000001310720
snjax,67299,25725798899998999445504,144208900000000000000,0,25581589999999000772608
muskaankalra24,88982,25090335099999001509888,327625099999000002560,0,24762710000000001114112
kweiss,-93408,25287476899999998017536,578076899999999983616,0,24709399999999998164992
bonustrack,71632,25320650000000002031616,1101260000000000000000,0,24219390000000000851968
josh2k,91634,23633502599999999967232,52062600000000000000,0,23581440000000000000000
mikemcdonald,373,23812661399999999901696,362101400000000032768,0,23450560000000002097152
aceking2021,124979,22730449999999998623744,11180000000000000000,0,22719270000000000589824
gasperx93,72179,22801796199999999049728,245806200000000000000,0,22555990000000001114112
collinvine,1516,22541024599999999115264,74284600000000000000,0,22466739999999998820352
anettrolikova,60163,23174468799999000969216,943948800000000000000,0,22230519999999000969216
defidude,71724,23946780000000000655360,1886380000000000131072,0,22060399999999998427136
tayboonsiang90,77746,21692589999998998937600,11180000000000000000,0,21681409999999000903680
timimpalacrypto,125298,21692589999998998937600,11180000000000000000,0,21681409999999000903680
tina1998612,5955,21783712699998999150592,129042700000000000000,0,21654669999998999986176
tedko,68767,22123442099999001804800,479352099998999969792,0,21644090000000000458752
syroamst,85640,21713672799999999606784,197952800000000000000,0,21515719999999998689280
tjayrush,620,24504933299536999219200,2736480000000000000000,337963299536999940096,21430489999999999410176
fubuloubu,5473,21999956099999998148608,656146100000000049152,0,21343810000000001245184
alexeyakhunov,57434,21560530699998998822912,261560699999000002560,0,21298970000000001507328
vfatouros,93304,21455450899997997924352,683560899999000035328,0,20771889999999001427968
abhimanyu121,59294,20939810299999999229952,242940300000000016384,0,20696870000000000589824
sandeepnailwal,80370,20950694699999000788992,260934700000000016384,0,20689759999998998609920
arnetheduck,66316,20587145499999998050304,17195500000000000000,0,20569950000000001900544
casperdefisearch,125151,19965387599999999672320,55347600000000000000,0,19910039999999998164992
scco,21528,20700271699998999052288,896761699999000035328,0,19803510000000000065536
vrortvedt,63379,21941339999999998558208,2227190000000000065536,0,19714149999999998492672
arrose,29173,19892149099999000526848,413599100000000016384,0,19478549999999000772608
antiprosynthesis,7929,19612397500000001589248,142317500000000000000,0,19470080000000000000000
cpstl,7364,19846319199998999265280,396339200000000000000,0,19449979999998999265280
miguelzf,125300,19650159599998998675456,503159600000000000000,0,19146999999999000969216
okduncan,6829,20203230000000001900544,1117190000000000065536,0,19086040000000000262144
theode69,85719,18626833500000000933888,24593500000000000000,0,18602240000000000000000
to391,125247,18440369999998999330816,11180000000000000000,0,18429189999998999199744
thesachinmittal,-5019,23284170619998999412736,228751100000000016384,4799999519999999868928,18255419999998999265280
stonecoldpat,69451,18083679400000000884736,73959400000000000000,0,18009719999999999213568
mul1sh,6262,18960799999999998951424,1147710000000000065536,0,17813090000000000196608
mdben1247,72084,18590291600000000458752,850481600000000000000,0,17739810000000000196608
nataleferrara,91653,17712111299999999983616,26031300000000000000,0,17686080000000000000000
notaquant,122130,17708442599999999574016,22362600000000000000,0,17686080000000000000000
nikitamashkov,83584,18214074599997999939584,623404599998999953408,0,17590669999998999986176
nmson88,125243,17277647599998999724032,55347600000000000000,0,17222299999999000313856
samcamwilliams,59716,17131061500000000278528,133721500000000000000,0,16997340000000000655360
paulrberg,5552,18871929999999000117248,2151880000000000000000,0,16720049999998999330816
debase-v87,125175,16729985299999000363008,44725300000000000000,0,16685259999999000838144
claberus,69578,16664754599998999494656,247614600000000000000,0,16417139999999000576000
marczeller,5276,17149586499997999824896,735326499999000035328,0,16414259999999000576000
arboreum-github,77714,17283277799998999232512,935427800000000032768,0,16347849999998999592960
mds1,-7479,20121343265739999543296,3192999999998999920640,675923265740999884800,16252420000000000393216
andreujuanc,90288,16271899900000000278528,79119900000000000000,0,16192779999999999082496
connoroday,-12535,17503239999999000444928,1386769999999000117248,0,16116470000000000065536
johannbarbie,5269,16584077899997999267840,629007899998999937024,0,15955069999999000510464
willruddick,77600,15985077899999999688704,51987900000000000000,0,15933090000000000196608
alexvotofuture,26579,17158310000000000589824,1243030000000000065536,0,15915279999999999475712
cswenor,23447,16872694874155666898944,380101600000000000000,591433274156666585088,15901159999998999396352
porobov,59336,17872339945080999641088,1452440000000000000000,549189945080999968768,15870710000000000065536
mareeng,7869,15956468099999000952832,119488100000000000000,0,15836979999999000576000
skale-ethberlin,64724,15847372099999999459328,88182100000000000000,0,15759189999999999016960
octaviaan,63606,16831141519271001063424,47048300000000000000,1140623219270999867392,15643470000000000327680
vlzhr,65698,15673950199997999874048,70700199999000002560,0,15603249999998999330816
koeppelmann,2651,15850776399998999330816,418756400000000000000,0,15432019999998999527424
danlipert,7766,16442039999999999213568,1031220000000000000000,0,15410820000000000393216
bit-7,134223,15369369999999999410176,0,0,15369369999999999410176
dreamsfulfilled,125188,15350292600000000032768,22362600000000000000,0,15327930000000000458752
jabyl,84518,15624248499999000756224,523118499999999983616,0,15101129999998999592960
iamonuwa,4452,17979579999998001020928,2922599999998999920640,0,15056979999998999527424
diglos,69213,15955673100000000212992,910563100000000016384,0,15045110000000000065536
kanika1799,66400,15106315499999999295488,94695500000000000000,0,15011619999999999344640
markspereira,60127,15189625099999000920064,181405100000000016384,0,15008219999999000313856
scbuergel,36239,15343892599997999349760,399752599999000018944,0,14944139999999000838144
sepu85,73055,15272352899998999904256,384762899998999969792,0,14887590000000000589824
papiofficial,101183,14988716999998999363584,153787000000000000000,0,14834929999998999330816
auryn-macmillan,62432,17057739911285000110080,1422169999999999934464,887149911284999913472,14748420000000000393216
unikeys-tech,69479,14761757799999999049728,15937800000000000000,0,14745820000000000655360
0xcnt,125324,14760762599999000281088,22362600000000000000,0,14738399999999000707072
krasops,125153,14749579999999000838144,11180000000000000000,0,14738399999999000707072
rsderek,123541,14749579999999000838144,11180000000000000000,0,14738399999999000707072
themandalore,1907,14813238499999999852544,101448500000000000000,0,14711789999999999279104
yalormewn,9530,17301403291087999598592,2309670000000000065536,422453291087999926272,14569280000000000000000
youngkidwarrior,20926,15355117499999999492096,797357500000000016384,0,14557760000000000000000
robdefeo,68134,14939592599998000267264,415612599999000018944,0,14523979999999000838144
princesinha19,71369,14484118799999999934464,112698800000000000000,0,14371420000000000655360
ghettodev,3504,14849199599999000772608,488719600000000000000,0,14360479999999000707072
peterbitfly,8373,14821814099999000100864,501174099998999969792,0,14320640000000000000000
paolorebuffo,72705,14391919099999000985600,92999100000000000000,0,14298919999998999396352
lkngtn,2413,14905979299999000821760,645379299999000035328,0,14260599999999999213568
zyra-zia,78036,14240727499999000133632,73907500000000000000,0,14166819999998999003136
voskcoin,98189,14645897299998999052288,516107299998999969792,0,14129790000000000851968
kashmar88,125283,14104089999998999068672,11180000000000000000,0,14092909999999001034752
web3foundation,54032,15988859999998001020928,1912969999999000117248,0,14075889999998999330816
pet3r-pan,23645,14735310599997999808512,664230599999000018944,0,14071079999998999396352
mikedeshazer,68449,15953984131018000433152,372024299999000002560,1689809831018999840768,13892150000000000065536
cojocaru,80973,15092616956827999928320,122540400000000000000,1098376556828999942144,13871699999998999527424
jierdin,73581,14031628499998000283648,184548499999000002560,0,13847079999998999396352
bakaoh,2551,15057609999999999934464,1509320000000000000000,0,13548289999999999148032
0xtaosu,75433,14090801899998998953984,570051900000000016384,0,13520749999999001034752
andytudhope,10878,19657659519997998792704,1397329999999000117248,4799999519999999868928,13460329999999000641536
jinglan,32574,13556710600000000753664,223590600000000000000,0,13333120000000000000000
