Handle,Share of Active Users,Tokens Allocated
reichdiaz,0.00512%,156.693
iverson888,0.00510%,156.0662
ttvkk,0.00510%,156.0662
sznicolas,0.00510%,156.0662
mister-meeseek,0.00510%,156.0662
jimmycheung1993,0.00510%,156.0662
caracteres86,0.00510%,156.0662
hennaedeagle,0.00510%,156.0229
wanseob,0.00509%,155.8883
lastmjs,0.00509%,155.8126
davidhq,0.00508%,155.5863
medvedev1088,0.00508%,155.3937
obiwanobiwan,0.00508%,155.3937
mszyma,0.00508%,155.3937
tonyherrera,0.00508%,155.3563
egystake,0.00507%,155.206
hardwood6969,0.00507%,155.206
edsonayllon,0.00506%,154.9161
hurry8888,0.00506%,154.89
jonathanamenechi,0.00506%,154.7595
splintercole,0.00505%,154.6521
insiderq,0.00505%,154.5426
pierrickgt,0.00505%,154.4909
babalangolama,0.00504%,154.3457
heemharr,0.00504%,154.3457
pangoli,0.00504%,154.3457
hunterr84,0.00504%,154.3457
ivandollar88,0.00504%,154.3457
feezly2,0.00504%,154.3457
jakub-czyz,0.00504%,154.3457
hyipindmonitor,0.00504%,154.3238
atvanguard,0.00504%,154.244
bmadueme,0.00504%,154.0963
pawanjay176,0.00504%,154.0813
silhouette114,0.00503%,154.0228
jaanek,0.00503%,153.8538
kwikiel,0.00503%,153.8239
papiofficial,0.00503%,153.787
grkm137,0.00502%,153.7576
kunfengx1,0.00502%,153.7576
liwei0111,0.00502%,153.7432
thegooner93,0.00501%,153.4008
fzeoli,0.00501%,153.3199
erickpinos,0.00501%,153.284
hammadtq,0.00501%,153.2688
godspeeduck,0.00501%,153.1842
muha1993,0.00501%,153.1842
guistf,0.00501%,153.1599
mdcoon,0.00500%,153.1205
fragmnt,0.00500%,153.0746
yacare555,0.00500%,152.9665
aronvanammers,0.00500%,152.907
tristannn1337,0.00500%,152.907
truthman1990,0.00500%,152.907
zymptomlabs,0.00500%,152.907
polocoinz,0.00500%,152.907
davidwither,0.00500%,152.907
roderik,0.00499%,152.783
99p32a1,0.00499%,152.7225
leocast2020,0.00499%,152.6251
zihongren,0.00499%,152.6251
firstoff09,0.00499%,152.6251
yuanzusong,0.00499%,152.6251
compose93843,0.00499%,152.6251
balian007,0.00499%,152.6251
galhoney,0.00499%,152.6251
yayords,0.00499%,152.6251
kevinsong888,0.00499%,152.6251
lokikill123,0.00499%,152.6251
lordvegetaeth,0.00499%,152.6251
kapagori,0.00499%,152.6251
chunlou,0.00499%,152.6251
ltibet,0.00499%,152.6251
cryptobae2,0.00499%,152.6251
stormgpz,0.00499%,152.6251
tehllama9,0.00499%,152.6251
kozachenkomaryna1,0.00499%,152.6251
sking789,0.00499%,152.6251
zclgni,0.00499%,152.6251
geyzee,0.00499%,152.6251
ivanlesovsk,0.00499%,152.6251
jiangshq,0.00499%,152.6251
jolestar,0.00499%,152.6251
jiantao88,0.00499%,152.6251
langjuxu5588,0.00499%,152.6251
zhangdalei666,0.00499%,152.6251
shamalt,0.00499%,152.6251
zaojiuzhidaoni,0.00499%,152.6251
yokerlee,0.00499%,152.6251
nongshaleia,0.00499%,152.6251
bodeongyeom,0.00499%,152.6251
bayesdroid,0.00499%,152.6251
yyctrader,0.00499%,152.6251
buyaonile,0.00499%,152.6251
w00802,0.00499%,152.6251
hanki2114,0.00499%,152.6251
lixiaogang8,0.00499%,152.6251
xiaowan-001,0.00499%,152.6251
uohoo,0.00499%,152.6251
eternal1990,0.00499%,152.6251
ilyailyatitov1984,0.00499%,152.6251
alekseymakarov198,0.00499%,152.6251
qqweid,0.00499%,152.6251
yujian-168,0.00499%,152.6251
gitdayou,0.00499%,152.6251
a8345120,0.00499%,152.6251
djangom,0.00499%,152.6251
ofemeteng,0.00499%,152.6251
ghotheroi,0.00499%,152.6251
david8855247,0.00499%,152.6251
kevindut,0.00499%,152.6251
chuizi01,0.00499%,152.6251
qihangwang,0.00499%,152.6251
natali-vorobeva-2019,0.00499%,152.6251
saitima,0.00499%,152.6251
culesarr,0.00499%,152.6251
helloxiaobit,0.00499%,152.6251
ajatz02,0.00499%,152.6251
sidneyfang,0.00499%,152.6251
skyblue12345,0.00499%,152.6251
privatesuke,0.00499%,152.6251
egs5000,0.00499%,152.6251
alinguo,0.00499%,152.6251
0xcuter,0.00499%,152.6251
oldsoul7777,0.00499%,152.6251
afrojackleo,0.00499%,152.6251
leo1794,0.00499%,152.6251
cofola3012,0.00499%,152.6251
lawrence-tam,0.00499%,152.6251
jnkpow1,0.00499%,152.6251
xiamuf,0.00499%,152.6251
pokkits,0.00499%,152.6251
pookus904,0.00499%,152.6251
lili3257,0.00499%,152.6251
peepeygithub,0.00499%,152.6251
kisscat,0.00499%,152.6251
dotrans,0.00499%,152.6251
germansheyn,0.00499%,152.6251
dobriakkk,0.00499%,152.6251
yanusiadexx,0.00499%,152.6251
jinhojeja,0.00499%,152.6251
nicoholo,0.00499%,152.6251
bngjly,0.00499%,152.6251
oaoocean,0.00499%,152.6251
huhaiqian888,0.00499%,152.6251
joneicher,0.00499%,152.6251
bbd2021,0.00499%,152.6251
llhllt,0.00499%,152.6251
sejanus66,0.00499%,152.6251
asher5602,0.00499%,152.6251
tianxiahui,0.00499%,152.6251
lvyanchi,0.00499%,152.6251
chuntian2021,0.00499%,152.6251
renayu33,0.00499%,152.6251
followeex,0.00499%,152.6251
jimi4166,0.00499%,152.6251
alexphotoman,0.00499%,152.6251
polootroop,0.00499%,152.6251
alexliqq,0.00499%,152.6251
qfsz1997,0.00499%,152.6251
rhian01,0.00499%,152.6251
sue1710,0.00499%,152.6251
aflinfo,0.00499%,152.6251
zhutoop,0.00499%,152.6251
tolehico,0.00499%,152.6251
vihari0803,0.00499%,152.6251
phoskins333,0.00499%,152.6251
okhui2,0.00499%,152.6251
okhui1,0.00499%,152.6251
e77t90,0.00499%,152.6251
salesfromthecrypt,0.00499%,152.6251
tieppv,0.00499%,152.6251
golkir,0.00499%,152.6251
john2204,0.00499%,152.6251
colorbro2,0.00499%,152.6251
daji-91788,0.00499%,152.6251
lisuhui3721,0.00499%,152.6251
joeconroy,0.00499%,152.6251
frankoop,0.00499%,152.6251
kingmanticore,0.00499%,152.6251
tdf514,0.00499%,152.6251
mayorhking,0.00499%,152.6251
hansbbb,0.00499%,152.6251
limouren778,0.00499%,152.6251
xuan165,0.00499%,152.6251
lxf198988,0.00499%,152.6251
mosheng188,0.00499%,152.6251
ceeepea,0.00499%,152.6251
jim3333,0.00499%,152.6251
cmponz,0.00499%,152.6251
yuanleiming,0.00499%,152.6251
bazifare,0.00499%,152.6251
ceng996,0.00499%,152.6251
lingirl111,0.00499%,152.6251
snow9801,0.00499%,152.6251
ragonzal,0.00499%,152.5818
michael-a-heuer,0.00498%,152.4759
nimchimpsky,0.00498%,152.3183
jeez07z,0.00498%,152.283
fastyga,0.00498%,152.283
q9f,0.00498%,152.283
kennyvani,0.00498%,152.283
jvmaia,0.00497%,152.1385
andfletcher,0.00496%,151.8276
maciej-baj,0.00496%,151.6564
hleb-albau,0.00495%,151.5418
svenski123,0.00495%,151.5309
cubicus55,0.00495%,151.5018
rafalkowalski,0.00495%,151.397
jaredpereira,0.00494%,151.2131
asadovka,0.00494%,151.172
mua69,0.00494%,151.1165
smithjr001,0.00493%,150.9898
lililashka,0.00493%,150.8749
ken-gee,0.00493%,150.7196
nuamarjani,0.00492%,150.6084
criticaltv,0.00492%,150.4964
olafghanizadeh,0.00491%,150.37
andybuks,0.00490%,149.8839
commonslove,0.00489%,149.6822
alextes,0.00487%,149.1104
david7876,0.00486%,148.8195
mirshko,0.00486%,148.7446
ashleigh-schap,0.00486%,148.6382
pouncerk7s,0.00486%,148.6056
antisaa,0.00485%,148.4759
animufi,0.00485%,148.4759
infopirate,0.00485%,148.412
theylon,0.00484%,148.119
kaichen,0.00484%,148.017
ineffectualproperty,0.00484%,148.0029
dziubutkus,0.00483%,147.8391
fartfly,0.00483%,147.7453
donormailman,0.00483%,147.7211
andygray,0.00482%,147.4669
pmensik,0.00481%,147.2386
djviau,0.00481%,147.037
morigies,0.00480%,147.0208
robert331,0.00480%,146.885
bln21m,0.00480%,146.885
milonite,0.00480%,146.7928
mc25,0.00479%,146.6776
rbcp18,0.00479%,146.5487
lampshade9909,0.00479%,146.443
maheshmurthy,0.00478%,146.1283
franzihei,0.00477%,146.0846
mehmettaskiner,0.00477%,146.0247
stephenmilone,0.00477%,146.0247
williamchong,0.00477%,145.8935
ruthcatlow,0.00477%,145.8746
rbchi,0.00476%,145.7858
jonathanlau200,0.00476%,145.7858
maystro4,0.00476%,145.7748
noosterveer,0.00476%,145.7225
wesdoteth,0.00476%,145.6486
zasad,0.00475%,145.4214
pawel-lewinski1,0.00475%,145.4214
alebud86,0.00474%,145.1644
marthendalnunes,0.00474%,145.1644
matiasgamio,0.00474%,145.1644
quemua,0.00474%,145.1644
jameseddington,0.00473%,144.8688
jetebp11,0.00473%,144.8596
arjunbhuptani,0.00473%,144.8373
rickystamton,0.00473%,144.6657
camchis,0.00472%,144.3042
snjax,0.00471%,144.2089
fleupold,0.00471%,144.1112
andrewdara,0.00471%,144.0281
silkenel,0.00471%,144.0281
cryptowitch,0.00471%,144.0281
feixingxiaozi,0.00471%,144.0029
bangaynguhai,0.00471%,143.9882
ruain-eth,0.00470%,143.9295
benschza,0.00470%,143.7973
jdetychey,0.00470%,143.7098
tpscrpt,0.00469%,143.6098
bobthebuidler,0.00469%,143.5118
phunke4,0.00469%,143.4439
faustasgit,0.00469%,143.4439
batdao006,0.00469%,143.4439
dongan1211,0.00469%,143.4439
seyhell,0.00469%,143.4439
allyhernandez,0.00469%,143.4439
diiezel,0.00469%,143.4439
auruhm,0.00469%,143.4439
ashraf402,0.00469%,143.4439
phunkey,0.00469%,143.4439
youdotamer,0.00469%,143.4439
yampopoampl,0.00469%,143.4439
marcisaninja,0.00469%,143.422
eristoddle,0.00469%,143.3858
scottmtravers,0.00468%,143.2728
ridesolo,0.00468%,143.1456
vaporingmonk,0.00468%,143.0745
pyr0gan,0.00467%,142.89
jasesnake,0.00467%,142.8558
rumiamia,0.00467%,142.8414
solodby,0.00467%,142.8414
kayabanerve,0.00467%,142.791
dangergraphic,0.00466%,142.5836
benlongstaff,0.00466%,142.5836
uju5678,0.00466%,142.5619
mingderwang,0.00466%,142.507
s5mu3n,0.00465%,142.3668
nance2uiuc,0.00465%,142.3588
antiprosynthesis,0.00465%,142.3175
xma711,0.00465%,142.2895
sylor-huang,0.00465%,142.2824
piotrmisiurek,0.00465%,142.2387
bflynn4141,0.00464%,142.0406
gh435098jf20,0.00463%,141.7233
gh4355e88f19,0.00463%,141.7233
gh4355000f18,0.00463%,141.7233
gh435522jf17,0.00463%,141.7233
yanid,0.00463%,141.7233
gh4355ef02jf16,0.00463%,141.7233
bgg234,0.00463%,141.7233
gh489ef12jf15,0.00463%,141.7233
gh433ef12jf14,0.00463%,141.7233
hjfjcv3,0.00463%,141.7233
gh439ef12jf13,0.00463%,141.7233
djee1,0.00463%,141.7233
gh4355ef122,0.00463%,141.7233
bfffgghd54,0.00463%,141.7233
gh430f12jf11,0.00463%,141.7233
lorcel,0.00463%,141.7233
gh43442jf10,0.00463%,141.7233
milot-r,0.00463%,141.7233
gh432jf91,0.00463%,141.7233
zgyuan1989,0.00463%,141.7233
gh469f12jf8,0.00463%,141.7233
shkwok,0.00463%,141.7233
gh115ef12jf7,0.00463%,141.7233
gh235ef12jf6,0.00463%,141.7233
alterkahn,0.00463%,141.7233
gh4345ef12jf5,0.00463%,141.7233
sportsblockchain,0.00463%,141.7233
dmdzet,0.00463%,141.7233
rdzbasket,0.00463%,141.7233
jkingh,0.00463%,141.7233
kangiang,0.00463%,141.7233
usefalo,0.00463%,141.7233
jimmylv,0.00463%,141.7233
princseila,0.00463%,141.7233
bountyacaunt,0.00463%,141.7233
ideasatminds,0.00463%,141.7233
goldenfiredo,0.00463%,141.7233
rxmdstudentloans,0.00463%,141.7233
a861670663,0.00463%,141.7233
jnfnf354,0.00463%,141.7233
qiuyingyuan,0.00463%,141.7233
vyacheslaleontev1990,0.00463%,141.7233
iputong,0.00463%,141.7233
nvh1982,0.00463%,141.7233
linseedence,0.00463%,141.7233
petrkos55,0.00463%,141.7233
sand317,0.00463%,141.7233
drupa1,0.00463%,141.7233
champshen2016,0.00463%,141.7233
garfeildma,0.00463%,141.7233
offthetop,0.00463%,141.7233
prexy500,0.00463%,141.7233
hng-teamspark,0.00463%,141.7233
allancook,0.00463%,141.7233
goderbug,0.00463%,141.7233
markliu1995,0.00463%,141.7233
tuzibb,0.00463%,141.7233
yuyuan0923,0.00463%,141.7233
gh4356ef12jf4,0.00463%,141.7233
gh4355ef12jf3,0.00463%,141.7233
zengchen221,0.00463%,141.7233
tadeocrypt,0.00463%,141.7233
gh43ef12jf3,0.00463%,141.7233
han0117,0.00463%,141.7233
baby-525,0.00463%,141.7233
zmzimpl,0.00463%,141.7233
springdove,0.00463%,141.7233
raynazark,0.00463%,141.7233
kamuz1992x,0.00463%,141.7233
ghwef45jf3,0.00463%,141.7233
zddsky,0.00463%,141.7233
jolish88,0.00463%,141.7233
xamdkx,0.00463%,141.7233
jonyx25,0.00463%,141.7233
easygem23,0.00463%,141.7233
nbawyl520,0.00463%,141.7233
qxz66,0.00463%,141.7233
emiliyakudryavtseva1976,0.00463%,141.7233
satish147,0.00463%,141.7233
dremalaylay,0.00463%,141.7233
xweip,0.00463%,141.7233
teeshake9,0.00463%,141.7233
xitelemrli,0.00463%,141.7233
mohanz,0.00463%,141.7233
galizhupafan,0.00463%,141.7233
mllervan,0.00463%,141.7233
mimi616,0.00463%,141.7233
w-google-github,0.00463%,141.7233
dicleyuk,0.00463%,141.7233
incrediblez7,0.00463%,141.7233
cryptchic,0.00463%,141.7233
dmitrij-sobolev-84,0.00463%,141.7233
lorf11,0.00463%,141.7233
uhbbrf,0.00463%,141.7233
hgyhhhd5,0.00463%,141.7233
tiepenglee,0.00463%,141.7233
lv-ww,0.00463%,141.7233
jhtchen,0.00463%,141.7233
ausername123-byte,0.00463%,141.7233
avgind,0.00463%,141.7233
gy96hyr,0.00463%,141.7233
hbbrrffh25,0.00463%,141.7233
a8uhu00,0.00463%,141.7233
sunnyroger1,0.00463%,141.7233
violettasidorova1965,0.00463%,141.7233
gayd6565gb,0.00463%,141.7233
k8vt54443,0.00463%,141.7233
myesterylee,0.00463%,141.7233
theone-,0.00463%,141.7233
di9jiind33,0.00463%,141.7233
semaalekseev1981,0.00463%,141.7233
ui89j90,0.00463%,141.7233
as874621,0.00463%,141.7233
l8ji789,0.00463%,141.7233
birji,0.00463%,141.7233
qo98764biju,0.00463%,141.7233
jntggv584,0.00463%,141.7233
bhn6789jhf,0.00463%,141.7233
hardenfire,0.00463%,141.7233
hgybvb98,0.00463%,141.7233
ad7kh0055,0.00463%,141.7233
alixsun0215,0.00463%,141.7233
damaimai,0.00463%,141.7233
huh80007,0.00463%,141.7233
sunnyroger2,0.00463%,141.7233
qyf51622341,0.00463%,141.7233
guy99vgy,0.00463%,141.7233
s89kh34nd,0.00463%,141.7233
daggllo,0.00463%,141.7233
n8kjg9kopp,0.00463%,141.7233
no9g7eff29,0.00463%,141.7233
yueying189,0.00463%,141.7233
p9gklyw7,0.00463%,141.7233
sk67ew7eff27,0.00463%,141.7233
bluelee2020,0.00463%,141.7233
gh9gyew7eff26,0.00463%,141.7233
gh9092578u,0.00463%,141.7233
gh98t53def24,0.00463%,141.7233
ghmkk7eff22,0.00463%,141.7233
git-tsv,0.00463%,141.7233
hjbgghb,0.00463%,141.7233
renohuang12,0.00463%,141.7233
wvch17008,0.00463%,141.7233
mike2microbe,0.00463%,141.7233
gh9i7eff217,0.00463%,141.7233
blackhawk1991,0.00463%,141.7233
gh9666eff20,0.00463%,141.7233
olya-olya-andreeva-1987-andreev,0.00463%,141.7233
gheliff19,0.00463%,141.7233
dappsclub,0.00463%,141.7233
gh987eff18,0.00463%,141.7233
delight105,0.00463%,141.7233
gh487ef12jf17,0.00463%,141.7233
alin918,0.00463%,141.7233
chainfix,0.00463%,141.7233
xcolyer,0.00463%,141.7233
gh438jf16,0.00463%,141.7233
gh417ef2jf15,0.00463%,141.7233
roxtigerf,0.00463%,141.7233
gh787ef12jf14,0.00463%,141.7233
crispin-dye,0.00463%,141.7233
gh0ef12jf13,0.00463%,141.7233
danyanikiforov1977,0.00463%,141.7233
gh43342jf12,0.00463%,141.7233
gh43092jf11,0.00463%,141.7233
enginezyq,0.00463%,141.7233
huutoanktv,0.00463%,141.7233
angelinabelova1970,0.00463%,141.7233
sowleshunter1,0.00463%,141.7233
stony1984,0.00463%,141.7233
a871244846,0.00463%,141.7233
qiandaoyy,0.00463%,141.7233
jhbfff25544,0.00463%,141.7233
allaeduard,0.00463%,141.7233
hhfffjh255,0.00463%,141.7233
bluedreamz453,0.00463%,141.7233
ijbbhf545,0.00463%,141.7233
carrotpark0823,0.00463%,141.7233
5156bit,0.00463%,141.7233
apihpih96,0.00463%,141.7233
jbffvbhh55,0.00463%,141.7233
liyongqinglw,0.00463%,141.7233
rodnys,0.00463%,141.7233
xjawake,0.00463%,141.7233
blockgeeks0x01,0.00463%,141.7233
sssnodesfxm,0.00463%,141.7233
chris910325,0.00463%,141.7233
gh4388ef12jf10,0.00463%,141.7233
gh4352jf9,0.00463%,141.7233
gh435f12jf8,0.00463%,141.7233
mcaptain3,0.00463%,141.7233
gh4357ef12jf7,0.00463%,141.7233
gh457ef12jf6,0.00463%,141.7233
jfjbrb8184,0.00463%,141.7233
jdhfjve5,0.00463%,141.7233
china88888,0.00463%,141.7233
gh56ef12jf5,0.00463%,141.7233
ji7890b0,0.00463%,141.7233
yk19873kjsg,0.00463%,141.7233
alla-grigoreva-1994,0.00463%,141.7233
freeaccess482,0.00463%,141.7233
gh4357ef12jf2,0.00463%,141.7233
nbgoku,0.00463%,141.6887
vany365,0.00461%,141.1449
aliyamodhbc,0.00461%,141.1449
jonathanjoseph20,0.00461%,141.1449
liurik,0.00461%,141.1449
stan-the-dark-lord,0.00461%,141.1449
huhu886,0.00461%,141.1449
illidio,0.00461%,141.1449
jghartman,0.00461%,141.1449
twigstar69,0.00461%,141.1449
aphexmunky,0.00461%,141.1449
isabelgeek,0.00461%,141.0464
sulliwane,0.00461%,140.9751
drdent18,0.00460%,140.6973
bungeth,0.00459%,140.4939
tienle89,0.00458%,140.2847
rstormsf,0.00458%,140.2219
dewansahil,0.00458%,140.1797
invocamanman,0.00458%,140.1475
jt00001,0.00457%,139.8578
rhyswd,0.00457%,139.8543
readreed,0.00457%,139.8543
ismailjh,0.00457%,139.8543
ethereum-john,0.00457%,139.8543
sidko,0.00456%,139.6009
noswald,0.00456%,139.5928
johnisbig,0.00456%,139.5928
bendave232,0.00456%,139.5928
civileddie,0.00456%,139.5928
benny149,0.00456%,139.5928
jaelarmasm,0.00456%,139.5928
rome4guest,0.00456%,139.4923
luxumbra,0.00456%,139.4692
ptrwtts,0.00456%,139.4658
captnseagraves,0.00455%,139.2186
heikolotz,0.00455%,139.1602
alet89,0.00455%,139.1
deleted_account,0.00455%,139.0904
stojce,0.00455%,139.0904
ramarti,0.00454%,138.9407
bryan356,0.00454%,138.9256
jamiis,0.00454%,138.8303
ethturin,0.00453%,138.7644
maxsemenchuk,0.00453%,138.6486
tcarrijo,0.00453%,138.5641
elma-landro,0.00452%,138.4592
tanmayanand44,0.00452%,138.3949
tigerbowl,0.00452%,138.27
ezynda3,0.00452%,138.2549
kristianradev,0.00452%,138.1817
antoncoding,0.00452%,138.1744
theogoodman,0.00451%,138.0232
isakivlighan,0.00451%,137.9971
quan4,0.00451%,137.976
0x0rio,0.00450%,137.7364
ainsleys,0.00450%,137.6238
e03alz,0.00450%,137.6163
catatonicadenosine,0.00450%,137.564
gitcointorch,0.00450%,137.564
hqueue,0.00449%,137.3966
marianodp,0.00448%,137.2393
samovarchik,0.00448%,137.0473
excripto,0.00447%,136.9167
audeoluca,0.00447%,136.9167
peanutpete,0.00447%,136.9167
theezan,0.00447%,136.9167
cycloka,0.00447%,136.9167
benjaminsharpe,0.00447%,136.9167
luckyyang,0.00447%,136.7912
cartosys,0.00447%,136.7736
gliinbox,0.00446%,136.3928
cowboy-bebug,0.00445%,136.3061
ronsabo,0.00445%,136.1029
001027548-johnsonabhishek,0.00445%,136.1029
rpruizc,0.00445%,136.1029
developery-nl,0.00445%,136.1029
kimpers,0.00445%,136.1029
mjwills-inf,0.00445%,136.1029
jackleahy22,0.00445%,136.1029
muvodich,0.00444%,135.9832
2mizeen,0.00444%,135.9832
lucasvelazquez,0.00444%,135.9832
me-how-m,0.00444%,135.9832
louisnld2020,0.00444%,135.9832
block88,0.00444%,135.9395
littlezigy,0.00443%,135.5962
kamohaladus,0.00443%,135.4843
nnti3n,0.00443%,135.4843
hesterbruikman,0.00442%,135.4029
exhumans,0.00442%,135.2508
3ach,0.00442%,135.2423
jameel139,0.00442%,135.1229
silenceway,0.00442%,135.1229
petermmoricz,0.00441%,135.0317
zak102,0.00441%,134.9871
max-a1,0.00441%,134.9519
carlos786110,0.00441%,134.8964
mindagainst1,0.00441%,134.8658
codenamejason,0.00440%,134.7145
blockprogram,0.00440%,134.6704
sarangparikh22,0.00439%,134.4793
adamdossa,0.00439%,134.412
cheryldavis,0.00439%,134.2627
xhao123456,0.00439%,134.2627
yogijerry,0.00439%,134.247
semenka,0.00439%,134.2341
alphaserpentis,0.00438%,133.9673
samcamwilliams,0.00437%,133.7215
booyah2,0.00437%,133.6527
mochex10,0.00436%,133.4938
cpurta,0.00436%,133.4261
brossetti1,0.00436%,133.4024
kkyu2020-dot,0.00436%,133.3807
innoprenuer,0.00435%,133.1747
hoaxnet,0.00435%,133.1083
ethdreamer,0.00435%,133.0575
thisispatduffy,0.00434%,132.949
rsthornton,0.00433%,132.5956
polto,0.00433%,132.5496
mrbin228,0.00433%,132.5421
theicehawk,0.00433%,132.5421
guomenke,0.00433%,132.5421
taiwotem,0.00433%,132.5421
sylvian3111,0.00433%,132.5421
dexzen1234,0.00433%,132.5421
stwith,0.00433%,132.5421
ddaavvee,0.00433%,132.5421
mekyle,0.00433%,132.5421
bjsjt,0.00433%,132.4987
brianmcmichael,0.00432%,132.2104
sirius651,0.00432%,132.1393
ismailemin,0.00431%,131.9613
ttaibl,0.00431%,131.954
yukun1987,0.00431%,131.954
jackzjjj,0.00431%,131.9396
lebedevaalina,0.00431%,131.9396
jannyh,0.00431%,131.9396
zulyamucha,0.00430%,131.6601
liyuxuans,0.00430%,131.6601
mommynigabby,0.00430%,131.6601
agni21,0.00430%,131.5617
tdee16,0.00429%,131.3806
tidedad,0.00429%,131.3806
thomasaiyou,0.00429%,131.3806
lindseycourtney,0.00429%,131.3806
aascft3,0.00429%,131.3125
martintel,0.00429%,131.2281
snaketh4x0r,0.00429%,131.1782
richardjameslopez,0.00429%,131.1614
araman64new,0.00428%,131.1025
meincraft,0.00428%,131.101
nicoj76,0.00428%,130.929
biuxmaster,0.00428%,130.9179
brentoneill,0.00428%,130.9006
zhaoyue1214,0.00428%,130.8215
dreamhackchosenone,0.00428%,130.8215
jiwonp,0.00428%,130.8215
semuseoro,0.00428%,130.8215
yeg0117,0.00428%,130.8215
quester847,0.00428%,130.8215
ekw822,0.00428%,130.8215
robbycz,0.00428%,130.8215
leina2021,0.00428%,130.8215
veronikamakarova1960,0.00428%,130.8215
xona858,0.00428%,130.8215
cacie52,0.00428%,130.8215
peasage,0.00428%,130.8215
youxun666,0.00428%,130.8215
sanvinhomes,0.00428%,130.8215
slaverun,0.00428%,130.8215
ikaills,0.00428%,130.8215
brighte,0.00428%,130.8215
maogongyin,0.00428%,130.8215
hanonn852,0.00428%,130.8215
tamara-zhukova-1970,0.00428%,130.8215
wcr1pt0,0.00428%,130.8215
fyodobaranov1970,0.00428%,130.8215
parkvillenf,0.00428%,130.8215
praiseobasaju1,0.00428%,130.8215
5.96E+08,0.00428%,130.8215
zhenyafyodorov1964,0.00428%,130.8215
kostyagavrilov66,0.00428%,130.8215
lenechkamatveev1995,0.00428%,130.8215
lengios,0.00428%,130.8215
thaieibvn,0.00428%,130.8215
rlinxy,0.00428%,130.8215
rhom331,0.00428%,130.8215
wagyuchicken,0.00428%,130.8215
cty328807718,0.00428%,130.8215
resun0524,0.00428%,130.8215
killercc314,0.00428%,130.8215
okhui3,0.00428%,130.8215
adil1212,0.00428%,130.8215
nanson52196,0.00428%,130.8215
unblockedcarve,0.00428%,130.8215
franxtonif,0.00428%,130.8215
jwu55722,0.00428%,130.8215
plutus12,0.00428%,130.8215
crankeyfrankey,0.00428%,130.8215
gaoshan66,0.00428%,130.8215
grigoriyromanov1960,0.00428%,130.8215
fyodor-zaytsev-1988,0.00428%,130.8215
xtonysu,0.00428%,130.8215
dorian108,0.00428%,130.8215
kimgap,0.00428%,130.8215
mylkrex,0.00428%,130.8215
pcare2019,0.00428%,130.8215
hxing-gx,0.00428%,130.8215
xuxizhen,0.00428%,130.8215
jhaaa,0.00428%,130.8215
1.33E+10,0.00428%,130.8215
wang-weifeng,0.00428%,130.8215
xiaohua50332,0.00428%,130.8215
ghitf936,0.00428%,130.8215
camuskane321,0.00428%,130.8215
moosapamoo,0.00428%,130.8215
orangelpai,0.00428%,130.8215
beiv1i,0.00428%,130.8215
anzhelikamatveeva2018,0.00428%,130.8215
sinceihaveto,0.00428%,130.8215
zhaokai2,0.00428%,130.8215
valpro91,0.00428%,130.8215
fengyundaxia,0.00428%,130.8215
standx1314,0.00428%,130.8215
svetlankatitova1992,0.00428%,130.8215
wang820203420,0.00428%,130.8215
dtwosam,0.00428%,130.8215
taotaogo,0.00428%,130.8215
trongthienpc,0.00428%,130.8215
heonjeongtae,0.00428%,130.8215
russemee,0.00428%,130.8215
hady58,0.00428%,130.8215
artyom-alekseev-1987,0.00428%,130.8215
iony-77,0.00428%,130.8215
quinn265,0.00428%,130.8215
manuelljhay,0.00428%,130.8215
robbycher,0.00428%,130.8215
nx9079,0.00428%,130.8215
jiaji-wei,0.00428%,130.8215
quee95,0.00428%,130.8215
nguyenlong2817,0.00428%,130.8215
yjh393322063,0.00428%,130.8215
ouvantar,0.00428%,130.8215
ezchinonso,0.00428%,130.8215
gioorellana1,0.00428%,130.8215
gangaaaaji,0.00428%,130.8215
jimb-847,0.00428%,130.8215
blessing97,0.00428%,130.8215
hideoncoin,0.00428%,130.8215
xxtrader,0.00428%,130.8215
sumecsamo,0.00428%,130.8215
huyquan305,0.00428%,130.8215
enigmatico77,0.00428%,130.8215
jeze25,0.00428%,130.8215
phillinzzz,0.00428%,130.8215
yx22935,0.00428%,130.8215
saldonsal539,0.00428%,130.8215
qq1050923877,0.00428%,130.8215
rget84,0.00428%,130.8215
sqh157,0.00428%,130.8215
zsedo,0.00428%,130.8215
troisbtc,0.00428%,130.8215
hoahamho,0.00428%,130.8215
dagr8ay,0.00428%,130.8215
edikzaytsev1974,0.00428%,130.8215
hh77hh88kt218,0.00428%,130.8215
tmer1168,0.00428%,130.8215
nanniceman,0.00428%,130.8215
vuittont60,0.00428%,130.8215
mishaafanasev1973,0.00428%,130.8215
kyungbanjang,0.00428%,130.8215
mister000111,0.00428%,130.8215
ilya-ilya-kuzmin-1990-kuzmin,0.00428%,130.8215
hamptonys,0.00428%,130.8215
mm351,0.00428%,130.8215
angelinkafedorova84,0.00428%,130.8215
1.62E+09,0.00428%,130.8215
onces333,0.00428%,130.8215
cornanda,0.00428%,130.8215
neronga,0.00428%,130.8215
osoiotoko,0.00428%,130.8215
yangguojiang,0.00428%,130.8215
gh98hy67eff2,0.00428%,130.8215
oksana-oksana-titova-1976-titov,0.00428%,130.8215
wkjsestop,0.00428%,130.8215
furthermore562,0.00428%,130.8215
quasuell,0.00428%,130.8215
