Handle,Share of Active Users,Tokens Allocated
jlr13,0.05030%,"1,539.09"
bia462,0.05020%,"1,537.15"
kehongpeng,0.05020%,"1,537.15"
scottrepreneur,0.05010%,"1,532.25"
imeosgo,0.04990%,"1,526.25"
tzwangkk,0.04990%,"1,526.25"
crisgarner,0.04970%,"1,520.73"
mkosowsk,0.04960%,"1,516.27"
nickhollins,0.04950%,"1,515.56"
prometheusminer,0.04950%,"1,515.35"
bakaoh,0.04930%,"1,509.32"
oiu2020,0.04920%,"1,504.45"
frankie0214,0.04920%,"1,504.45"
biockassassin,0.04920%,"1,504.45"
8ialkz,0.04920%,"1,504.45"
lightuponlight,0.04900%,"1,499.99"
yuyu1996,0.04880%,"1,493.55"
cumtwzhb,0.04880%,"1,493.55"
gl558,0.04850%,"1,482.64"
nimbusnerd,0.04840%,"1,482.08"
jamescarnley,0.04830%,"1,478.60"
robypsi,0.04830%,"1,476.67"
eduadiez,0.04810%,"1,472.11"
mcaptaindsfa,0.04810%,"1,471.74"
tigermumu,0.04770%,"1,460.56"
s-ben,0.04770%,"1,458.68"
pi0neerpat,0.04750%,"1,453.63"
porobov,0.04750%,"1,452.44"
danibelle,0.04720%,"1,444.43"
noshufu,0.04700%,"1,438.76"
vshvsh,0.04670%,"1,428.05"
0xlucas,0.04660%,"1,426.17"
kaiynne,0.04660%,"1,424.59"
auryn-macmillan,0.04650%,"1,422.17"
a62316004,0.04630%,"1,417.23"
writercami,0.04620%,"1,412.31"
dcinvestor,0.04600%,"1,406.84"
chenyoulan,0.04600%,"1,406.33"
jpitts,0.04590%,"1,405.79"
ricmoo,0.04580%,"1,402.63"
andytudhope,0.04570%,"1,397.33"
cranders1,0.04560%,"1,396.63"
csszxj,0.04560%,"1,395.43"
yishunzhihan,0.04560%,"1,395.43"
connoroday,0.04530%,"1,386.77"
hodldwon,0.04530%,"1,385.19"
manimanioo,0.04520%,"1,384.53"
chw-sample,0.04520%,"1,384.53"
kellyna56,0.04510%,"1,379.82"
lxbtc,0.04490%,"1,373.63"
bradymck,0.04480%,"1,370.96"
axia-callum,0.04480%,"1,369.51"
larrybird0x,0.04460%,"1,364.71"
bspraggs,0.04460%,"1,363.89"
todd-x-y,0.04450%,"1,362.18"
tasdienes,0.04440%,"1,358.37"
sembrestels,0.04420%,"1,353.90"
littlebitbear,0.04380%,"1,340.92"
mcaptain18,0.04380%,"1,340.92"
mcaptain19,0.04380%,"1,340.92"
jdreyespaez,0.04360%,"1,333.54"
makhovababy,0.04350%,"1,331.15"
denali465464646,0.04350%,"1,330.02"
lihai1654646,0.04350%,"1,330.02"
bobo1654484964,0.04350%,"1,330.02"
nona2164165,0.04350%,"1,330.02"
lucy456465456,0.04350%,"1,330.02"
jack15489486,0.04350%,"1,330.02"
peter1654465414165,0.04350%,"1,330.02"
niuren1564564564,0.04350%,"1,330.02"
mark416465,0.04350%,"1,330.02"
yanghelong1,0.04350%,"1,330.02"
shexinyi,0.04340%,"1,329.47"
stack85,0.04310%,"1,319.12"
panlinhui1234,0.04310%,"1,319.12"
adamstallard,0.04280%,"1,308.30"
luukdao,0.04270%,"1,305.27"
jiecut42,0.04240%,"1,296.98"
attenboro,0.04230%,"1,294.19"
solexplorer,0.04230%,"1,293.98"
abertog,0.04220%,"1,291.80"
polats,0.04220%,"1,290.93"
deepblue00,0.04200%,"1,286.41"
bvanderlugt,0.04190%,"1,282.13"
ecruz01,0.04180%,"1,279.03"
cherideal,0.04170%,"1,276.37"
sebaudet26,0.04160%,"1,273.39"
superphiz,0.04150%,"1,270.50"
sskarlath,0.04150%,"1,268.56"
fcqjfcqj,0.04140%,"1,266.33"
quickrider,0.04130%,"1,264.89"
jay-hsu,0.04130%,"1,264.61"
igorbarinov,0.04130%,"1,264.32"
mzargham,0.04110%,"1,258.50"
rocklaw2,0.04100%,"1,253.71"
pakokrew,0.04090%,"1,252.58"
niran,0.04080%,"1,247.29"
