handle,token_proportion,tokens
web3foundation,0.12%,404.3223269
pet3r-pan,0.12%,403.8340298
mikedeshazer,0.12%,403.6961836
cojocaru,0.12%,398.5625525
jierdin,0.12%,397.975818
bakaoh,0.12%,397.269504
taosue,0.12%,388.6973278
andytudhope,0.12%,387.9072912
jinglan,0.12%,386.1738112
mauerv,0.12%,382.5240147
bflynn4141,0.12%,382.1082772
jchi18,0.12%,379.4156241
sanchaymittal,0.12%,379.4139327
crisog,0.12%,378.8452958
mjamilbashir99,0.12%,376.9714325
nya-elimuai,0.12%,376.9714325
guistf,0.12%,376.9714325
fernandomartinelli,0.12%,373.0028137
andrewkeysconsensys,0.11%,368.72958
sergiodemianlerner,0.11%,365.8574731
unitimeshq,0.11%,365.1685801
reubenb13,0.11%,363.2576759
nodar,0.11%,362.9682834
dmihal,0.11%,362.7506047
pooltogether-team,0.11%,362.5559286
ferranrego,0.11%,362.0725365
merwane,0.11%,361.9857694
hodldwon,0.11%,359.1510417
rabmarut,0.11%,355.8420552
sydneylai,0.11%,355.1866512
rune23,0.11%,354.1403728
anonusergitcoin65-apfm2iez1kj9qtqrpsvbhxgvr9ccakbx,0.11%,353.5533001
futuretechboss,0.11%,352.0393592
disruptionjoe,0.11%,346.561028
king-st,0.11%,341.0339854
likepeas,0.10%,338.2730012
nic4242,0.10%,338.2730012
pixelantdesign,0.10%,338.2730012
benjaminion,0.10%,337.3777617
manualzuru,0.10%,334.2238734
jtraversa,0.10%,325.1554507
lorelei1,0.10%,322.8536721
bshater,0.10%,315.808122
headiextb,0.10%,311.0171615
kingofitall,0.10%,311.0171615
xx2122,0.10%,311.0171615
rekpero,0.10%,311.0171615
briangu33,0.10%,310.0747329
haydenadams,0.09%,305.9807839
gnosispm,0.09%,305.565723
iamdefinitelyahuman,0.09%,305.562002
pipermerriam,0.09%,299.6929654
binancefellowshipgrants,0.09%,297.1636982
atlanticcrypto,0.09%,297.0378606
tsnark,0.09%,293.4518285
yoavw,0.09%,293.1700471
harshrajat,0.09%,293.0683961
zoek1,0.09%,291.051105
economicsdesign,0.09%,286.5899607
anneconnelly,0.09%,283.6748931
solexplorer,0.09%,281.4975989
calbeans,0.09%,278.6236315
5chdn,0.08%,270.6914679
jas0n-f,0.08%,270.6892691
makoto,0.08%,266.4754024
gregthegreek,0.08%,265.6011358
gravenp,0.08%,262.1850859
directdimsim,0.08%,260.7919085
lamboshinakaghini,0.08%,260.7058181
fireeyesxyz,0.08%,259.3317531
homelesswhale,0.08%,253.7047509
lmrank,0.08%,253.7047509
donateeth,0.08%,253.7047509
anonusergitcoin36-parklqhclkyzx4xp6ycehrcfmbwryirt,0.08%,253.6709236
anonusergitcoin6-grn3mhi0pkhr4bpqdae4nndytq37shdp,0.08%,252.4037529
anonusergitcoin70-0y3ifc1elzfn8iupxypm3geixwsex6vb,0.08%,252.4037529
anonusergitcoin82-xqe9cxgu1ttaukqle7uair38r9bpnp7j,0.08%,252.4037529
sirsuhayb,0.08%,252.4037529
edmundedgar,0.08%,251.6776499
vasa-develop,0.08%,251.5168011
mzargham,0.08%,250.208192
zashton,0.08%,249.1696939
princenoctisff,0.08%,249.0957812
4-1-3-x,0.08%,248.8138307
trustlessstate0x,0.08%,247.9444691
darbsllim,0.08%,247.0042393
zcstarr,0.08%,245.9589757
rockmanr,0.08%,245.104329
mfinestone,0.07%,241.8279858
shazow,0.07%,240.6423389
daft-wullie,0.07%,240.4510456
itsbdell,0.07%,238.1947646
tokenbrice,0.07%,238.1529879
vbstreetz,0.07%,236.945015
ivshti,0.07%,236.5076281
ethereumcn,0.07%,235.1203705
xychun,0.07%,233.6302779
rexshinka,0.07%,233.5573801
jthiel78,0.07%,233.4919242
siddharth-j,0.07%,233.4773785
apesznz,0.07%,233.0159741
finematics,0.07%,232.3861098
samparsky,0.07%,232.1481347
nasehim7,0.07%,231.1891308
zyfrank,0.07%,230.2921999
juliebissinger,0.07%,228.3396882
ribbonblockchainrsa,0.07%,228.3342758
angelakte,0.07%,227.6858065
pepem00n,0.07%,226.2427338
theperegrineco,0.07%,225.9403178
ecrivaine,0.07%,223.4629754
jespow,0.07%,219.2746483
stevenjnpearce,0.07%,218.7153139
dievardump,0.07%,214.9107574
spencer12noon,0.07%,212.0888841
bluzelle-team,0.07%,211.1665827
zengmi2140,0.07%,210.7373143
shenanigandapp,0.06%,208.2393373
fifikobayashi,0.06%,207.71975
man-jain,0.06%,207.2945408
econoar,0.06%,206.7267496
crypcade,0.06%,206.6506381
madeoftin,0.06%,206.527845
spolrot,0.06%,206.5072104
ditchfieldcaleb,0.06%,206.1422138
followthechain,0.06%,205.4010577
jay-prime,0.06%,200.9915
medvedev1088,0.06%,200.4942387
viraja1,0.06%,198.0160507
judokick,0.06%,197.9950777
michaelis,0.06%,196.3894649
gitcointorch,0.06%,195.6817978
0xkiwi,0.06%,195.1158671
innoprenuer,0.06%,191.9915776
