handle,token_proportion,tokens
kpii,0.00%,3.159469831
ul1tko,0.00%,3.159469831
dhruvdpatel,0.00%,3.159469831
abachinskyi,0.00%,3.156425374
gnz0,0.00%,3.149998187
williamcheng7341,0.00%,3.146784593
darksorrow,0.00%,3.146784593
reuptaken,0.00%,3.143740136
fabiotongson,0.00%,3.140019133
defirate,0.00%,3.139173451
mc25,0.00%,3.137482086
itatchi474,0.00%,3.135114175
jeewaka,0.00%,3.133253673
pierrelev74,0.00%,3.133253673
blueicex3,0.00%,3.133253673
waifukollektor,0.00%,3.129025261
sergeijke,0.00%,3.129025261
hurek,0.00%,3.128010442
node-n,0.00%,3.126319077
codeyield,0.00%,3.124965985
isakivlighan,0.00%,3.123951166
supersminem,0.00%,3.121921528
ilario,0.00%,3.120568436
supermoonkey,0.00%,3.119215344
alexcor,0.00%,3.118369661
anonusergitcoin50-c88com8r9exbbbeirsh77vmokp5nihro,0.00%,3.117693115
disncrypto,0.00%,3.117185706
crt13057,0.00%,3.116847433
gospogagaga,0.00%,3.116678296
udoncrypto,0.00%,3.116678296
msonawane,0.00%,3.11650916
vargaspeniel,0.00%,3.114817795
nontechnicaldukekim,0.00%,3.114648658
georgemonaki,0.00%,3.114141249
daodesigner,0.00%,3.113802976
egs5000,0.00%,3.112111611
krov-01,0.00%,3.112111611
pafnutiy,0.00%,3.111265928
lorenbednar,0.00%,3.10923629
gary-glitch,0.00%,3.107206652
shakeabi,0.00%,3.105515287
tcchuin,0.00%,3.105515287
figofinozeros,0.00%,3.104500468
growmason,0.00%,3.10297824
balancer-labs,0.00%,3.101625148
tetsugan,0.00%,3.101117738
theoryshaw,0.00%,3.101117738
cmditch,0.00%,3.100779465
bigzenos,0.00%,3.100272056
random-char,0.00%,3.098580691
annamsgeorge,0.00%,3.098580691
sea212,0.00%,3.097904145
zhiguang,0.00%,3.09283005
amorli,0.00%,3.089278183
yurow4,0.00%,3.087417682
marcosmg,0.00%,3.085049771
caseybrrr,0.00%,3.080144812
liujianywfh,0.00%,3.079975676
rakhmanovr,0.00%,3.079637403
withinaz,0.00%,3.072702806
gabriellemic,0.00%,3.071180578
msagansk,0.00%,3.069996622
xiv1605,0.00%,3.069827486
sbravonq,0.00%,3.069658349
olafghanizadeh,0.00%,3.068812667
jiegege888,0.00%,3.066444756
vdg0,0.00%,3.0652608
xiaodaoxin,0.00%,3.0652608
du7sou8ra1,0.00%,3.05900275
bh2smith,0.00%,3.058833613
e1winjin,0.00%,3.05849534
raynazark,0.00%,3.057987931
toast-eth,0.00%,3.057142248
oklover,0.00%,3.057142248
jandetlefsen,0.00%,3.053590382
arbrideged,0.00%,3.052913836
mbomhoff,0.00%,3.051560744
arthurbtfd,0.00%,3.051222471
soulburnslow,0.00%,3.051053334
emanuelquerty,0.00%,3.050207652
christopherlema,0.00%,3.048516287
eiselems,0.00%,3.044457011
globalsg,0.00%,3.044457011
the-munter,0.00%,3.044457011
poffdeluxe,0.00%,3.044457011
gitcoingranterog,0.00%,3.043949601
terrycflamb,0.00%,3.043442192
charliephy,0.00%,3.0420891
palomamartinez,0.00%,3.039213779
spinbackwards,0.00%,3.033970548
johnnysclai,0.00%,3.033970548
lguan,0.00%,3.032279183
tdruan,0.00%,3.032279183
linroger1976,0.00%,3.032279183
haoyunw,0.00%,3.031095227
araman64new,0.00%,3.029742135
varietyshopletgo,0.00%,3.027543361
cheo0202,0.00%,3.027543361
wuya0532,0.00%,3.027205088
getmegone,0.00%,3.026190269
ikabankin,0.00%,3.023145812
wayne5555,0.00%,3.020777901
twintbeast,0.00%,3.020101355
astrotseng,0.00%,3.018748263
rusalimchik,0.00%,3.018240853
simak54046,0.00%,3.018240853
victorsssss,0.00%,3.018240853
rahullenkala,0.00%,3.018240853
napolean0,0.00%,3.017395171
rhosadah,0.00%,3.016042079
pooltogether,0.00%,3.01502726
aaronmboyd,0.00%,3.014012441
yehia67,0.00%,3.013843304
razgraf,0.00%,3.012659349
cmponz,0.00%,3.012321076
extra-bug,0.00%,3.011475393
richajoshi123,0.00%,3.010629711
shamz795,0.00%,3.008600073
davidmm77,0.00%,3.005217342
eunicelisc,0.00%,3.000650657
gracerachmany,0.00%,2.999466701
colliseum2006,0.00%,2.999466701
progprogblog,0.00%,2.996422244
pavelmoneyin,0.00%,2.996422244
taizohashizume,0.00%,2.996253108
youcanthaveadmin,0.00%,2.996253108
yuristturist,0.00%,2.996253108
statefulworks,0.00%,2.996253108
veox,0.00%,2.995914835
pokl88,0.00%,2.988980238
abranc0677,0.00%,2.98407528
emilecastelnuovo,0.00%,2.98356787
nikoline,0.00%,2.981876505
jackzjjj,0.00%,2.973250544
jushiung,0.00%,2.972404861
danlessa,0.00%,2.972066588
lee51525125,0.00%,2.97003695
bbarton,0.00%,2.969529541
alexchsong,0.00%,2.968345585
miaommmisokay,0.00%,2.965808538
maxshot111,0.00%,2.964624582
evilblueboo,0.00%,2.964117173
hayleykwan,0.00%,2.963609763
ajnauleau,0.00%,2.962087535
amigodejack,0.00%,2.961241852
kfirmanty,0.00%,2.961241852
malikahmedw,0.00%,2.960734443
ksaynice,0.00%,2.960227033
sentisoft,0.00%,2.95988876
silentnoname,0.00%,2.95988876
chrisstpierre,0.00%,2.95988876
davidkieve,0.00%,2.959381351
kevinchensr,0.00%,2.959212214
tschoffelen,0.00%,2.957689986
oaksprout,0.00%,2.957689986
strongsupport-everywhere,0.00%,2.957520849
shitcoinben,0.00%,2.95650603
michwlv,0.00%,2.950417116
setlef,0.00%,2.950078843
alex-mcarthur,0.00%,2.949233161
thomasfoolery,0.00%,2.948387478
alexfisher,0.00%,2.943144247
adivyas99,0.00%,2.94297511
daocaoren115,0.00%,2.941283745
cubicus55,0.00%,2.937901015
ocimad,0.00%,2.933503466
weipin,0.00%,2.93282692
carl05,0.00%,2.930797282
countroland677,0.00%,2.929613327
ncsolar,0.00%,2.92606146
shuffledex,0.00%,2.92267873
johnson-xin,0.00%,2.921833048
mattarad,0.00%,2.91642068
ivorrr,0.00%,2.914052769
sygmei,0.00%,2.912868813
sserpas,0.00%,2.910500902
biocom,0.00%,2.907287309
ntquang22298,0.00%,2.906441626
liugod8,0.00%,2.906441626
joemphilips,0.00%,2.90288976
goodjobnaoki,0.00%,2.900521849
justjohnpark,0.00%,2.900352712
aidusts,0.00%,2.900014439
dmitriu77,0.00%,2.89899962
hiba561,0.00%,2.898492211
ryandotson,0.00%,2.897984801
sardoru,0.00%,2.897984801
rockfridrich,0.00%,2.896462573
carboclanc,0.00%,2.896293436
thealchemist310,0.00%,2.893418116
huanzhang89,0.00%,2.89274157
q9f,0.00%,2.89223416
antoncoding,0.00%,2.89223416
realworld-north,0.00%,2.891050205
yuribeats,0.00%,2.889697113
caideguang,0.00%,2.889020567
jamescchristie,0.00%,2.888005748
storm100006,0.00%,2.885637837
glebivanov,0.00%,2.884453881
stack85,0.00%,2.881916834
hackobi,0.00%,2.881916834
yimings2072,0.00%,2.881578561
uneautrepoire,0.00%,2.881578561
max2000383,0.00%,2.880563742
defitrader32,0.00%,2.879379786
bobanm,0.00%,2.87870324
feifanlucky,0.00%,2.87532051
jk1151,0.00%,2.87532051
lentil-coco,0.00%,2.87532051
mxwtnb,0.00%,2.87532051
redshark1802,0.00%,2.87532051
rickystamton,0.00%,2.87532051
vrde,0.00%,2.87532051
sefibaji,0.00%,2.87532051
chinyh,0.00%,2.874474828
varunv5000,0.00%,2.873629145
danylostefan,0.00%,2.872276053
whatscusemewhat,0.00%,2.872106917
skylar745,0.00%,2.868893323
manuelaaprile93,0.00%,2.866187139
full-meme,0.00%,2.86567973
jonathanamenechi,0.00%,2.860098225
ngovannghia1997kma,0.00%,2.85840686
bohus-eth,0.00%,2.858237723
d0pelabs,0.00%,2.857561177
finnthehuman50,0.00%,2.855700676
varenkashi,0.00%,2.855700676
ff8997249,0.00%,2.855700676
625526283,0.00%,2.853671038
deficorner,0.00%,2.852487082
yisiliu,0.00%,2.847412987
lxzocc,0.00%,2.846567305
blahkheart,0.00%,2.846398168
wanseob,0.00%,2.846229032
jm9151821,0.00%,2.845214213
tangyanhong123,0.00%,2.844537667
brousoft,0.00%,2.842846302
cubedao,0.00%,2.842169756
owonwo,0.00%,2.841154937
floristico,0.00%,2.839125299
iamthegl1tch,0.00%,2.838787026
krasi-georgiev,0.00%,2.83760307
therocketcat,0.00%,2.836080842
guanyuems1,0.00%,2.836080842
tanmayanand44,0.00%,2.833036385
mikedeltalima,0.00%,2.831006747
hch668668,0.00%,2.829822791
dodoex,0.00%,2.827285744
eliyastein,0.00%,2.827116607
bubblenote,0.00%,2.826101788
haraldini,0.00%,2.82457956
iainbarclay,0.00%,2.82457956
ja888,0.00%,2.82457956
lisamtrujillo,0.00%,2.82457956
ramasrikanth,0.00%,2.82457956
graxxx,0.00%,2.822888195
dewansahil,0.00%,2.822719058
gabbyoo,0.00%,2.821535103
allegro07,0.00%,2.819674601
ysrsockysr,0.00%,2.819505465
subilink,0.00%,2.815446189
prashantrdso,0.00%,2.814262233
jiangxin88,0.00%,2.812232595
sagarkarira,0.00%,2.812063459
zoe-archer,0.00%,2.811894322
hanzoh1,0.00%,2.811386913
djuanit0x,0.00%,2.810879503
flash-git,0.00%,2.80766591
kernel888,0.00%,2.80766591
pindarvanarman,0.00%,2.807327637
idevkalis,0.00%,2.806481954
anonusergitcoin48-qtr23jxzziyddblm1xht6efqw3iwtfxr,0.00%,2.805467135
sar0910,0.00%,2.804114043
2aaaaa,0.00%,2.803437497
maozi6,0.00%,2.80090045
quangmach,0.00%,2.799209085
thecode3,0.00%,2.796672037
ankit-maverick,0.00%,2.793796717
goljl,0.00%,2.79075226
sintobin,0.00%,2.79075226
topcryptoinvestor,0.00%,2.79075226
belee1023,0.00%,2.79075226
littlecatyi,0.00%,2.789399168
sassy799,0.00%,2.789399168
cherrywong98,0.00%,2.788215212
raykayray,0.00%,2.787876939
heyellieday,0.00%,2.786692984
ajbealeth,0.00%,2.785678165
ptsteadman,0.00%,2.784494209
miguel567,0.00%,2.784155936
eesama111,0.00%,2.783141117
clementbalestrat,0.00%,2.780773206
thegitschool,0.00%,2.779420114
jerdudez,0.00%,2.775191702
uwuquant,0.00%,2.772147245
mohanz,0.00%,2.772147245
rahulkrishna-web,0.00%,2.770117607
harryh8686,0.00%,2.769102788
cryptoraves,0.00%,2.766227467
crmn111,0.00%,2.765212648
wangxiaochao2019,0.00%,2.764536102
188xiaomi188,0.00%,2.76369042
michaelsembwever,0.00%,2.763521283
system0fad0wn,0.00%,2.762675601
gwintery,0.00%,2.762337328
ninagolovnia,0.00%,2.759631144
c0decn,0.00%,2.758447188
kuzminaaliya1429,0.00%,2.755910141
perhapslove,0.00%,2.755064458
msi0324,0.00%,2.754387912
cornellioss,0.00%,2.75354223
pertsev,0.00%,2.752696547
baranovvladislav,0.00%,2.751005182
rusgamer,0.00%,2.749821227
yieldster,0.00%,2.747115043
shenna111,0.00%,2.747115043
zhangjihang,0.00%,2.74626936
pandahacker,0.00%,2.745423678
evanz13,0.00%,2.744408859
alfinal,0.00%,2.744239722
jaredpereira,0.00%,2.742210084
qq916159055,0.00%,2.74001131
marian522,0.00%,2.736797716
matiasm2020,0.00%,2.734937215
friederikeernst,0.00%,2.734937215
xleopard,0.00%,2.73273844
achacong,0.00%,2.732400167
damoncrypto,0.00%,2.731723621
oceantides,0.00%,2.731554485
tzwangkk,0.00%,2.731554485
erreac,0.00%,2.731216212
madilraza,0.00%,2.729524847
momonga5050,0.00%,2.72935571
lingdake007,0.00%,2.726818663
myxi005,0.00%,2.72309766
ernestoy,0.00%,2.722251977
crypt1d,0.00%,2.720391476
c2lion,0.00%,2.718192701
markichu,0.00%,2.717008745
dtroyd,0.00%,2.716839609
hardwood6969,0.00%,2.716332199
alexpeterson91,0.00%,2.71582479
bingen,0.00%,2.715486517
john-weiwei,0.00%,2.714809971
robertabt,0.00%,2.714302561
michalmikolajczyk,0.00%,2.713456879
wahyusmat,0.00%,2.711088968
kvnryn,0.00%,2.710412422
darrenrm,0.00%,2.709566739
cdeecn,0.00%,2.709397603
clemlak,0.00%,2.706184009
darkforestcap,0.00%,2.706184009
etherscam,0.00%,2.706184009
fzh191314,0.00%,2.706184009
holocroncoder,0.00%,2.706184009
jenkinsr001,0.00%,2.706184009
michaelyu300,0.00%,2.706184009
oxfordcrypto,0.00%,2.706184009
stylishsquid,0.00%,2.706184009
vincebao,0.00%,2.706184009
xiuxiubtc,0.00%,2.706184009
tolani-kitan,0.00%,2.706184009
tcooke111,0.00%,2.705000054
vcampbell89,0.00%,2.703985235
sushanth3366,0.00%,2.703139552
fenya96,0.00%,2.702801279
anants13,0.00%,2.700433368
mlaframb,0.00%,2.699418549
ercan89,0.00%,2.69891114
interaxis,0.00%,2.694344454
ra654321ra,0.00%,2.69214568
chuckwagoncomputing,0.00%,2.691807407
nixxo-1,0.00%,2.686056766
jsantos7,0.00%,2.683857991
w7129378,0.00%,2.682166626
silkenel,0.00%,2.681151807
tbcmart,0.00%,2.680813534
graphprotocol,0.00%,2.680475261
nightwolf3,0.00%,2.678276487
eddy-fi,0.00%,2.677599941
xeqtrrrr,0.00%,2.676923395
pinkunicornforest,0.00%,2.675908576
poetong,0.00%,2.674893757
dani4eg,0.00%,2.673709801
blleone,0.00%,2.673202392
kenman79,0.00%,2.672525846
jlr13,0.00%,2.670496208
murderbear,0.00%,2.669143116
jonelli,0.00%,2.669143116
davbre,0.00%,2.666267795
boomrum,0.00%,2.661362837
watertim,0.00%,2.660178881
whywhy2020ai,0.00%,2.659671472
liquity,0.00%,2.659502335
anushrik,0.00%,2.658825789
payne22m,0.00%,2.657641834
sarahjliu,0.00%,2.657641834
irvine,0.00%,2.657641834
protocol,0.00%,2.656457878
nikol1998,0.00%,2.656288742
dylanz8,0.00%,2.655443059
yaue001,0.00%,2.653751694
dbe,0.00%,2.652398602
kyoronut,0.00%,2.651214647
computernooo,0.00%,2.650876374
janvde,0.00%,2.650368964
peachmint,0.00%,2.650199828
bkly1135,0.00%,2.648677599
maltaiso,0.00%,2.648001053
gurugcrypto,0.00%,2.645125733
offshoot3d,0.00%,2.643603504
lxbtc,0.00%,2.642081276
aidenwang9989,0.00%,2.64089732
anomogh,0.00%,2.640220774
ansteadm,0.00%,2.640220774
naggertooth,0.00%,2.639544228
benschza,0.00%,2.638698546
mvaandrager,0.00%,2.637176317
ivanzhdn,0.00%,2.637007181
paulio1976,0.00%,2.635146679
eugenioclrc,0.00%,2.635146679
sbiddand,0.00%,2.63463927
kyoyo2017,0.00%,2.63463927
guritgfc,0.00%,2.632609632
dinyosos,0.00%,2.629226902
thahsisin,0.00%,2.623137988
iantgilbert,0.00%,2.622968851
jtnichol,0.00%,2.621615759
wuqg88878,0.00%,2.621615759
xiaoluyu1,0.00%,2.621615759
xmrceo,0.00%,2.621615759
laijack512,0.00%,2.621615759
alts-anonymous,0.00%,2.619755258
blakeburrito,0.00%,2.619416985
jought6,0.00%,2.618740439
crossinx,0.00%,2.618233029
utgent,0.00%,2.617387347
baraldor,0.00%,2.61721821
victor-crypto,0.00%,2.616541664
spuddya7x,0.00%,2.612482388
maciej-baj,0.00%,2.612144115
github20210306,0.00%,2.611298433
icwonderland,0.00%,2.609607068
claytonroche,0.00%,2.609099658
remindecis,0.00%,2.607408293
sponnet,0.00%,2.605209519
dsupport,0.00%,2.604702109
atkinsonholly,0.00%,2.604363836
magur0,0.00%,2.60368729
samiu1,0.00%,2.603349017
dlehenky,0.00%,2.600473697
j-zerah,0.00%,2.598613195
troisbtc,0.00%,2.598613195
imeosgo,0.00%,2.597936649
sssnodesfxm,0.00%,2.596076148
little315,0.00%,2.595399602
zhangfu88,0.00%,2.594723056
chefmoyu,0.00%,2.593031691
baby636,0.00%,2.591002053
avrilapril,0.00%,2.589479824
bookrunners,0.00%,2.587788459
1volk3,0.00%,2.583221774
152wmq,0.00%,2.581022999
zion-code,0.00%,2.578824225
sk123sk,0.00%,2.574426675
i-van-kaz,0.00%,2.571382218
jhray,0.00%,2.571213082
vesr1,0.00%,2.570874809
raphaelhuefner,0.00%,2.568337761
chain-police,0.00%,2.567999488
emiwatanabe,0.00%,2.566984669
jamesdawsonwd,0.00%,2.566984669
maliknaber,0.00%,2.566138987
visualeducation,0.00%,2.564955031
hibbb,0.00%,2.563940212
xtxc2009,0.00%,2.563601939
adnfx2,0.00%,2.562417984
ckanthony,0.00%,2.561741438
yauheniya-s,0.00%,2.560726619
sofiastefou-web,0.00%,2.559035254
terrabellus,0.00%,2.558527844
problem-halting,0.00%,2.557851298
nero5ummer,0.00%,2.555652524
savetheales,0.00%,2.555483387
mutedialog,0.00%,2.554637705
travaldar,0.00%,2.553961159
dishmonkeysteve,0.00%,2.553961159
steviedeeee,0.00%,2.55294634
alma-uk,0.00%,2.551085838
jfarid27,0.00%,2.549732746
nataliia-89,0.00%,2.542967286
zdesbr,0.00%,2.542121604
squanto,0.00%,2.541952467
cykim0225,0.00%,2.541106785
nic-parsons,0.00%,2.540091966
13616557022,0.00%,2.538738874
alexgausman,0.00%,2.537047509
amote28,0.00%,2.537047509
amsimoes,0.00%,2.537047509
burgersan,0.00%,2.537047509
edwardathomson,0.00%,2.537047509
fabriziovigevani,0.00%,2.537047509
gamacoin2017,0.00%,2.537047509
immob,0.00%,2.537047509
imreiko,0.00%,2.537047509
inacali,0.00%,2.537047509
jorge222,0.00%,2.537047509
jy997728,0.00%,2.537047509
karlkempe,0.00%,2.537047509
laurogripa,0.00%,2.537047509
millercwl,0.00%,2.537047509
mitchfalck,0.00%,2.537047509
olyagreen,0.00%,2.537047509
petrvolny,0.00%,2.537047509
rickydavila,0.00%,2.537047509
schwarze77,0.00%,2.537047509
sotawatanabe,0.00%,2.537047509
sundar-balaji,0.00%,2.537047509
walker0201,0.00%,2.537047509
weebemna,0.00%,2.537047509
xwvvvvwx,0.00%,2.537047509
youbank,0.00%,2.537047509
zyyyyyyyyz,0.00%,2.537047509
aidalamrissi,0.00%,2.537047509
15768650833,0.00%,2.536709236
imabdullahjan,0.00%,2.536540099
rikublock,0.00%,2.534848734
gjeanmart,0.00%,2.531635141
divguy,0.00%,2.530958595
blackhawk1991,0.00%,2.529098093
john-light,0.00%,2.527745001
clonedeath,0.00%,2.526391909
theylon,0.00%,2.526222773
13darko,0.00%,2.526222773
plur9,0.00%,2.52537709
luxueyou,0.00%,2.521148678
deguvunor,0.00%,2.520810405
mapleproject,0.00%,2.519795586
sellthehype,0.00%,2.518442494
taoba163,0.00%,2.517427675
platon2323,0.00%,2.517089402
mkltn,0.00%,2.516412856
catslovesmilk,0.00%,2.5152289
sc92,0.00%,2.512015307
perspxtiv,0.00%,2.508294304
dragonateyt,0.00%,2.507956031
tracemenow,0.00%,2.507448621
forthune,0.00%,2.505926393
koinbox,0.00%,2.504742437
kellyccoin,0.00%,2.502543663
charlieknoll,0.00%,2.502374526
colekennelly1,0.00%,2.497807841
daggerhashimoto,0.00%,2.496285612
shamenqiao,0.00%,2.494763384
jin10086,0.00%,2.494763384
sankethbe,0.00%,2.491380654
jaendotart,0.00%,2.490534971
thesarahshow,0.00%,2.488505333
z737,0.00%,2.488505333
lampshade9909,0.00%,2.488505333
innovationcur,0.00%,2.486813968
cryptoquick,0.00%,2.486306559
0xcharles,0.00%,2.484953467
ggg2021310,0.00%,2.483092965
singhromika,0.00%,2.483092965
tommyttttt,0.00%,2.48190901
nftignition,0.00%,2.48190901
criticaltv,0.00%,2.481232464
timeakovacs86,0.00%,2.480217645
amiron0928,0.00%,2.479541099
rachblondon,0.00%,2.478695416
progolandec,0.00%,2.472268229
july-jio,0.00%,2.471422547
liborj-coin,0.00%,2.469392909
qusunyee,0.00%,2.467701544
lukasschor,0.00%,2.467532407
qnosuke,0.00%,2.466686725
amirvisionary,0.00%,2.466686725
gldnxross,0.00%,2.466517588
johguse,0.00%,2.465333633
scorpie,0.00%,2.46499536
wentdream,0.00%,2.464318814
lampardus,0.00%,2.463303995
vesick,0.00%,2.462627449
adorapham,0.00%,2.460597811
coreman000,0.00%,2.458060763
danielduartef,0.00%,2.457553354
freemansong,0.00%,2.452479259
gop167,0.00%,2.452479259
mattyj8,0.00%,2.452479259
aditilamkhede,0.00%,2.452479259
poopster1,0.00%,2.451971849
skmgoldin,0.00%,2.451126167
vladfr,0.00%,2.449942211
snag0,0.00%,2.449942211
0xboxer,0.00%,2.449773075
coachsharkey,0.00%,2.448927392
git-satya,0.00%,2.4475743
themccranie,0.00%,2.447236027
grafina,0.00%,2.445882935
daln,0.00%,2.445206389
isaack2808,0.00%,2.443176751
pedrorierab,0.00%,2.442331069
wxpdfc,0.00%,2.442331069
eferhild,0.00%,2.442331069
ddzzl,0.00%,2.440977977
phoenix20-git,0.00%,2.439963158
gitcoinstan,0.00%,2.439286612
vaivoda,0.00%,2.437256974
lherskind,0.00%,2.435903882
aspiers,0.00%,2.433535971
wisper156,0.00%,2.433028561
andykforty7,0.00%,2.433028561
thexmikkel,0.00%,2.432521151
tmlee,0.00%,2.432013742
yuuta-asa,0.00%,2.431337196
zzzhujian,0.00%,2.429984104
yermoo,0.00%,2.428800148
hehe1379,0.00%,2.426432237
chanmayson,0.00%,2.425924828
shippable-ls,0.00%,2.423726053
0xtai,0.00%,2.423556917
liu369794992,0.00%,2.418990231
easycrypto1,0.00%,2.416453184
isokasakissoja,0.00%,2.415607501
baijie111,0.00%,2.415607501
nichanank,0.00%,2.414254409
vadimmalykhin,0.00%,2.414254409
philipwwzp,0.00%,2.412732181
kishgk,0.00%,2.412393908
attenboro,0.00%,2.410871679
dotataebag,0.00%,2.410195133
ogdonta,0.00%,2.410195133
rsholtz,0.00%,2.410195133
thelitcollective,0.00%,2.410195133
darkforestv1,0.00%,2.410195133
pepip,0.00%,2.410025997
c3rnst,0.00%,2.408672905
badrinat,0.00%,2.406643267
minyoung0614,0.00%,2.405966721
juankbell,0.00%,2.405121038
david405,0.00%,2.404275356
partakzz,0.00%,2.402414854
contreus,0.00%,2.402414854
maxmersch,0.00%,2.401738308
stisa,0.00%,2.401738308
alde1022,0.00%,2.400554353
script-money,0.00%,2.39970867
manjilan,0.00%,2.39632594
dreday966,0.00%,2.393112347
geo-ana,0.00%,2.389222207
i06,0.00%,2.389222207
thegiantswan,0.00%,2.388714798
whalesharkdotpro,0.00%,2.38617775
kalambet,0.00%,2.38617775
jameel139,0.00%,2.384824658
unitedbfleads,0.00%,2.384486385
vanyakot,0.00%,2.384486385
ceramicnetwork,0.00%,2.383809839
zhugewulongge,0.00%,2.380596246
bravekon,0.00%,2.378904881
mrelvis11,0.00%,2.378059198
klinko88,0.00%,2.369094964
nielsvanbree,0.00%,2.368756691
robbieeeeeeeeeee,0.00%,2.368587554
pfsgaz,0.00%,2.368587554
evanwsc888,0.00%,2.368249281
haritha-j,0.00%,2.367911008
hoani,0.00%,2.367911008
jagr068,0.00%,2.367911008
jeff-liang,0.00%,2.367911008
jellyfishmen,0.00%,2.367911008
liaoyuyu88,0.00%,2.367911008
orbitalcommandfreefall,0.00%,2.367911008
woshishui18,0.00%,2.367911008
vkajic,0.00%,2.367911008
saopdx,0.00%,2.365035688
midnightlightning,0.00%,2.364528278
vladmesodo,0.00%,2.36249864
lht41319,0.00%,2.362329504
promeryou,0.00%,2.361991231
hyun0208,0.00%,2.361822094
btfd-cames-jomey,0.00%,2.354380088
casslin,0.00%,2.350997358
karansinghgit,0.00%,2.349644266
gcarq,0.00%,2.348798584
oscarquintana,0.00%,2.34558499
heikolotz,0.00%,2.343047943
jesseblockhack,0.00%,2.334760254
domalak,0.00%,2.334083708
levyleex,0.00%,2.333407162
hodlercal,0.00%,2.331208388
craaie,0.00%,2.330870115
ic0rraxx,0.00%,2.326303429
jackychanzh,0.00%,2.323089836
arevalo237,0.00%,2.320891061
gianni-dalerta,0.00%,2.318184877
felixniemeyer,0.00%,2.318184877
hardvard24,0.00%,2.315309557
mcfiredrill,0.00%,2.314633011
rimslim,0.00%,2.314633011
compass7080,0.00%,2.313787328
yangjianyangqiaoyu,0.00%,2.308713233
camilaarias,0.00%,2.308713233
fatruicom,0.00%,2.307698414
j0shwheeler,0.00%,2.307529278
fabianlorenzob,0.00%,2.306852732
simczak,0.00%,2.306176186
sayum124,0.00%,2.306007049
kehongpeng,0.00%,2.304653957
ethello,0.00%,2.302793456
gaiaprogram,0.00%,2.297719361
guxuechao,0.00%,2.297719361
papa6669,0.00%,2.297719361
tingtingandrea,0.00%,2.297719361
surf920,0.00%,2.295858859
lido-web,0.00%,2.295182313
sergejp,0.00%,2.293660085
c-o-l-o-r,0.00%,2.291123037
fleupold,0.00%,2.290615628
taisen405512,0.00%,2.289431672
sbmckeon,0.00%,2.288416853
freeleon888,0.00%,2.28807858
8bitpal,0.00%,2.28757117
mohank1012,0.00%,2.286048942
chu6,0.00%,2.285034123
andogro,0.00%,2.28469585
6ug,0.00%,2.283511894
b456kh,0.00%,2.283342758
mksalabi,0.00%,2.283342758
tw-hub,0.00%,2.283342758
hoavantruong,0.00%,2.283342758
cryptoa2z,0.00%,2.273532841
rbcp18,0.00%,2.26727479
wjdfx,0.00%,2.266598244
fontaineb-fp,0.00%,2.26389206
matdryhurst,0.00%,2.263384651
abduljabaar,0.00%,2.261693286
iznake,0.00%,2.260340194
ragnarok5562,0.00%,2.259663648
antborrow,0.00%,2.259663648
echo-ray,0.00%,2.258648829
this-username-is-taken,0.00%,2.257295737
lndnmdialb,0.00%,2.255435235
zzzrs123,0.00%,2.254758689
jjukumi,0.00%,2.251883369
gustmtl,0.00%,2.251375959
qaaj,0.00%,2.251037686
rania-glass,0.00%,2.249515458
richie416,0.00%,2.249515458
vbeffa,0.00%,2.249346321
rshtirmer,0.00%,2.247993229
sunrise-xx,0.00%,2.247147547
jamesmorgan,0.00%,2.246471001
luxaedel,0.00%,2.24410309
315960451,0.00%,2.243933953
antoniojuliano,0.00%,2.243764817
cryptokat,0.00%,2.243088271
golemfactory,0.00%,2.243088271
globalyou,0.00%,2.240889496
saltednutz825,0.00%,2.24072036
divine-comedian,0.00%,2.24072036
twente-mining,0.00%,2.240043814
yippee-ki-yay,0.00%,2.238690722
setpsw,0.00%,2.238690722
skmiskmi,0.00%,2.238183312
dcghub,0.00%,2.233616627
rafanator,0.00%,2.232601808
mathiuz,0.00%,2.231586989
freddmannen,0.00%,2.230403033
robtg4,0.00%,2.229219078
turupawn,0.00%,2.227865986
maskowe,0.00%,2.226851167
jasonsun1004,0.00%,2.226343757
gfanchan11,0.00%,2.225667211
mitchuski,0.00%,2.224990665
vcelka,0.00%,2.224821529
ecruz01,0.00%,2.220931389
dxiri,0.00%,2.21991657
jatinpathi,0.00%,2.218732615
kargakis,0.00%,2.217379523
wazmm999,0.00%,2.217379523
csbuildit,0.00%,2.217379523
cricketpgh,0.00%,2.216702977
kagamimoe,0.00%,2.215688158
oneiseu,0.00%,2.214842475
cryptoonestop,0.00%,2.211290609
sagarchaurasia260395,0.00%,2.210106653
lenkla,0.00%,2.209430107
kemble17173,0.00%,2.209091834
ashleyoyt,0.00%,2.208246152
0xc0de4c0ffee,0.00%,2.207569606
valo,0.00%,2.205539968
brianmcmichael,0.00%,2.203848603
oputae,0.00%,2.200804146
0xnl,0.00%,2.199451054
danieljoonlee,0.00%,2.198774508
dbogs425,0.00%,2.198774508
max-a1,0.00%,2.198774508
n1024829,0.00%,2.198774508
shamusroeder,0.00%,2.198774508
ultimaman,0.00%,2.198774508
wangshenfeng,0.00%,2.198774508
vojtechsimetka,0.00%,2.198774508
michaelsena,0.00%,2.197759689
daryllautk,0.00%,2.19674487
dengtianyuan,0.00%,2.195730051
egyhorus,0.00%,2.195560914
kawsar15,0.00%,2.195391778
craiglmccarthy,0.00%,2.187949772
